Date,Dividends
2021-02-10,0.98
2020-11-17,0.98
2020-08-03,0.98
2020-05-13,0.98
2020-02-11,0.98
2019-11-19,0.9
2019-08-05,0.9
2019-05-14,0.9
2019-02-12,0.9
2018-11-19,0.8
2018-08-06,0.8
2018-05-16,0.8
2018-02-12,0.8
2017-11-20,0.7
2017-08-07,0.7
2017-05-15,0.7
2017-02-13,0.7
2016-11-18,0.6
2016-08-09,0.6
2016-05-23,0.6
