지역 및 규모,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09
경기(40㎡이하),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100.107503,99.92678327,99.85834579,100.0203844,99.86502303,99.72290521,99.50538554,99.29890327,99.20993452,99.659303,100.0181709,99.92598397,99.45294417,99.07579952,98.81942702,98.32056741,97.42557714,96.81394147,96.67823578,96.4060174,96.07174326,96.01373419
경기(40㎡초과 ~ 60㎡이하),85.3348552,85.6452942,86.03983936,86.56525493,86.58268986,86.59116684,86.60533999,86.59595535,86.78314913,87.46401969,87.92751191,88.23340259,88.47148176,88.75102854,89.24059011,89.88507244,90.89733073,91.63459859,92.37988142,92.95104426,93.48850309,94.13108971,94.84298468,95.41390417,95.67332918,95.7223461,95.74078074,95.74982981,95.86343984,96.02834291,96.29797726,96.48864983,96.71808087,96.87424829,97.19284985,97.54077286,97.62486379,97.67198854,97.71215843,97.80521248,98.00762934,98.25384951,98.5481379,98.92415249,99.41413409,99.60214444,99.78786164,100,99.98188917,99.96282049,99.99231941,100.0791898,100.1222851,100.0130793,99.75221238,99.59357919,99.53558555,100.0817886,100.5456048,100.7799927,100.6668051,100.3886257,100.1297596,99.77278923,99.15878821,98.66964601,98.27226614,97.98617822,97.95676082,97.99451971
경기(60㎡초과 ~ 85㎡이하),89.60205587,90.0183628,90.40703427,90.86588612,90.84786478,90.75937821,90.71788988,90.73511309,90.90739574,91.42516237,91.79642803,92.09283506,92.29690617,92.48825594,92.85612489,93.28837908,94.00892256,94.58420403,95.17654267,95.5838343,95.99053688,96.43633047,96.94387865,97.35364907,97.5630003,97.61796902,97.62578474,97.60221823,97.56329138,97.56761028,97.65329947,97.73106203,97.80346976,97.91279815,98.13896048,98.35030433,98.42134344,98.430707,98.4394968,98.48034303,98.59100314,98.73742739,98.91558087,99.14060095,99.52431022,99.69684799,99.8535976,100,100.0052494,100.0643849,100.333322,100.5392516,100.6886653,100.6863708,100.6948829,100.6300398,100.5647723,101.1224087,101.6520884,101.8740355,101.8946493,101.6866893,101.5062053,101.2529724,100.7410237,100.387656,100.1061951,99.98792831,99.97300113,100.0957445
경기(85㎡초과 ~ 102㎡이하),92.16507001,92.39560617,92.76206234,93.07043109,93.05279269,92.93324304,92.90551532,93.05215145,93.19959804,93.7979801,94.31178704,94.54579889,94.7552916,94.93812842,95.20637546,95.56229144,96.1728976,96.53243445,96.95470867,97.30884782,97.61559564,97.93086837,98.33966841,98.63475549,98.75858477,98.75627675,98.69568415,98.58556017,98.52955422,98.53825361,98.53989291,98.53747426,98.62086452,98.65376683,98.76482382,98.8169172,98.83015817,98.77288673,98.72348673,98.69333521,98.71336029,98.80688038,98.9093258,99.05913687,99.46139039,99.65110133,99.86608682,100,100.1514355,100.4399747,100.888809,101.4518169,101.7525042,101.9707904,102.0597243,102.1541516,102.388703,103.1493921,103.6481995,103.9096455,103.8929072,103.8691633,103.6101942,103.2775573,102.8013338,102.3576072,102.1120741,102.1255411,102.1980302,102.4856366
경기(102㎡초과 ~ 135㎡이하),95.84624294,95.74720168,95.69586046,95.92453855,95.78690537,95.58348935,95.46988485,95.4215691,95.35766211,95.50930187,95.71152653,95.80130014,95.88930063,95.98201145,96.21122873,96.53869744,96.90876716,97.37348569,97.73090208,98.02063484,98.23733949,98.49606032,98.90919229,99.13622428,99.25749613,99.28922309,99.27377674,99.24719749,99.20569399,99.18565218,99.16233805,99.18008871,99.18055838,99.19470176,99.33657639,99.42006005,99.41468644,99.32280678,99.26795769,99.23545667,99.19780711,99.11958798,99.13625752,99.30549057,99.61173578,99.83595957,99.93831665,100,100.0299212,100.2099878,100.7136249,101.0814942,101.3224809,101.4863728,101.6084881,101.5521898,101.7136747,102.1165057,102.7013669,103.0216529,103.0070574,102.9498034,102.8443412,102.6526563,102.4105215,102.1322574,102.010727,101.9875696,102.0382651,102.2418444
경기(135㎡초과),100.2388673,99.62510808,99.564842,99.51798523,99.06924365,98.56224937,98.34594125,98.04862575,97.96709,97.92223658,97.81715751,97.81560635,97.83024344,97.92742221,98.14633491,98.37242902,98.71218008,98.95450262,99.23401348,99.45361496,99.52246047,99.66188747,99.84977363,100.0299552,100.0493945,100.0534057,100.0282527,99.98318109,99.82583926,99.74050164,99.580282,99.60364401,99.59174751,99.62587202,99.73333663,99.81886501,99.80329082,99.78717597,99.69999575,99.63071965,99.5676426,99.47417428,99.36914664,99.56652361,99.84431286,99.88572775,99.98039915,100,100.0601485,100.2239293,100.7526206,100.7845732,101.3395368,101.5939244,102.004957,102.2254321,102.31696,102.907868,103.4221304,103.7318177,103.9306514,103.8454241,103.7606172,103.5835185,103.4205871,103.186305,102.9427692,102.7689112,102.7363311,102.7656481
경기 경부1권(40㎡이하),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100.2132488,100.3273131,100.8546225,101.3830247,101.2168204,101.4209772,101.6891026,101.5961423,101.5829701,102.5159584,103.1881538,103.2902355,103.0713004,102.7166307,102.2426009,101.8237055,100.6215701,100.2682005,100.0931436,100.1042622,100.5988615,101.5450377
경기 경부1권(40㎡초과 ~ 60㎡이하),83.14995547,83.21972087,83.67234468,84.42349534,84.47932833,84.52961077,84.42318369,84.406108,84.5384641,85.32972866,85.79467933,86.02758716,86.21245095,86.46575802,86.94619003,87.85158922,89.1976245,90.07180032,90.71111516,91.34421508,91.95564487,92.5435877,93.20065371,93.8870559,94.13639537,94.17648533,94.1389306,94.0783383,94.17278735,94.4200741,94.89607953,95.12246025,95.33145676,95.48916439,95.66119197,95.85542898,95.90293802,95.92286297,96.00947228,96.20213122,96.39567628,96.60106291,96.93741962,97.43293549,98.54656522,99.13788104,99.5755983,100,100.2514447,100.741638,101.3564,102.1131568,102.4949666,102.6509567,102.74029,102.7441151,102.7322843,104.2438697,105.0378908,105.1867347,104.9982283,104.7059829,104.189935,103.4872286,102.4777296,101.6232457,100.8139892,100.3631524,100.4516103,100.9238973
경기 경부1권(60㎡초과 ~ 85㎡이하),86.66575058,87.05585629,87.65316106,88.20625791,88.31119412,88.41127475,88.3907291,88.45999076,88.68866753,89.24049556,89.69735867,90.09553733,90.3627001,90.46143335,90.89293448,91.32291022,92.26036397,92.91089225,93.5261124,93.94253155,94.327423,94.65483408,95.29525798,95.60826005,95.7841689,95.79396805,95.79642127,95.77816932,95.85363607,95.97578357,96.11992459,96.20036286,96.28378694,96.38183812,96.54971574,96.65631617,96.72335991,96.74174505,96.79736811,96.84855067,96.99615426,97.10142415,97.27585231,97.65345219,98.62099181,99.17502489,99.55256795,100,100.3525857,101.0832471,102.5512546,103.3599464,103.9631778,104.2272457,104.3942158,104.5859165,104.9251478,106.5778749,107.5669829,107.7624608,107.7290997,107.4832369,106.9594208,106.3890904,105.5041314,104.8415247,104.5618218,104.6206099,104.8139756,105.286713
경기 경부1권(85㎡초과 ~ 102㎡이하),90.68522387,90.62203982,90.88728798,91.25786755,91.14397023,90.70404226,90.38497079,90.62852466,90.8023448,91.44632061,91.71267166,91.98218392,92.28950322,92.52286937,92.72226434,93.44778523,94.32372944,94.74557682,95.00326163,95.27798509,95.60506863,95.87429949,96.29858385,96.5952671,96.63565774,96.62243268,96.6330929,96.54699469,96.58378132,96.48388622,96.50711544,96.54319665,96.62174918,96.64076046,96.68207332,96.72264168,96.74192342,96.74705145,96.7578316,96.78922707,96.89227226,97.01434332,97.23817452,97.66868158,98.43816626,98.85113452,99.36973997,100,100.4698906,101.348538,103.6341523,105.1951142,105.7904555,106.2551563,106.3139597,106.439815,106.7490267,108.1903041,108.8381899,108.9024021,108.5449115,108.3098242,107.9914091,107.2452225,106.601432,106.1635014,105.6652413,105.7202408,105.7988417,106.2329518
