일자,구분,죄종,발생검거,건수
2001,관악,절도,검거,777
2001,관악,폭력,발생,3200
2001,관악,폭력,검거,2897
2001,강서,살인,발생,16
2001,강서,살인,검거,18
2001,강서,강도,발생,78
2001,강서,강도,검거,48
2001,강서,강간,발생,62
2001,강서,강간,검거,54
2001,강서,절도,발생,2088
2001,강서,절도,검거,800
2001,강서,폭력,발생,4733
2001,강서,폭력,검거,4185
2001,강동,살인,발생,9
2001,강동,살인,검거,11
2001,강동,강도,발생,62
2001,강동,강도,검거,80
2001,강동,강간,발생,59
2001,강동,강간,검거,59
2001,강동,절도,발생,1713
2001,강동,절도,검거,858
2001,강동,폭력,발생,4215
2001,강동,폭력,검거,3897
2001,종암,살인,발생,10
2001,종암,살인,검거,12
2001,종암,강도,발생,41
2001,종암,강도,검거,50
2001,종암,강간,발생,55
2001,종암,강간,검거,36
2001,종암,절도,발생,941
2001,종암,절도,검거,577
2001,종암,폭력,발생,2774
2001,종암,폭력,검거,2580
2001,구로,살인,발생,4
2001,구로,살인,검거,5
2001,구로,강도,발생,79
2001,구로,강도,검거,36
2001,구로,강간,발생,67
2001,구로,강간,검거,45
2001,구로,절도,발생,2466
2001,구로,절도,검거,1010
2001,구로,폭력,발생,3457
2001,구로,폭력,검거,2891
2001,서초,살인,발생,3
2001,서초,살인,검거,6
2001,서초,강도,발생,145
2001,서초,강도,검거,62
2001,서초,강간,발생,171
2001,서초,강간,검거,44
2001,서초,절도,발생,2163
2001,서초,절도,검거,899
2001,서초,폭력,발생,3237
2001,서초,폭력,검거,2978
2001,양천,살인,발생,8
2001,양천,살인,검거,8
2001,양천,강도,발생,72
2001,양천,강도,검거,51
2001,양천,강간,발생,55
2001,양천,강간,검거,49
2001,양천,절도,발생,1963
2001,양천,절도,검거,1352
2001,양천,폭력,발생,3345
2001,양천,폭력,검거,2918
2001,송파,살인,발생,5
2001,송파,살인,검거,5
2001,송파,강도,발생,42
2001,송파,강도,검거,47
2001,송파,강간,발생,50
2001,송파,강간,검거,41
2001,송파,절도,발생,1780
2001,송파,절도,검거,1008
2001,송파,폭력,발생,3368
2001,송파,폭력,검거,2876
2001,노원,살인,발생,8
2001,노원,살인,검거,9
2001,노원,강도,발생,25
2001,노원,강도,검거,30
2001,노원,강간,발생,38
2001,노원,강간,검거,36
2001,노원,절도,발생,954
2001,노원,절도,검거,573
2001,노원,폭력,발생,2527
2001,노원,폭력,검거,2345
2001,방배,살인,발생,6
2001,방배,살인,검거,6
2001,방배,강도,발생,51
2001,방배,강도,검거,40
2001,방배,강간,발생,146
2001,방배,강간,검거,32
2001,방배,절도,발생,1534
2001,방배,절도,검거,881
2001,방배,폭력,발생,1900
2001,방배,폭력,검거,1659
2001,은평,살인,발생,6
2001,은평,살인,검거,7
2001,은평,강도,발생,30
2001,은평,강도,검거,18
2001,은평,강간,발생,30
2001,은평,강간,검거,31
2001,은평,절도,발생,1005
2001,은평,절도,검거,569
2001,은평,폭력,발생,2314
2001,은평,폭력,검거,2004
2001,도봉,살인,발생,3
2001,도봉,살인,검거,2
2001,도봉,강도,발생,33
2001,도봉,강도,검거,17
2001,도봉,강간,발생,37
2001,도봉,강간,검거,31
2001,도봉,절도,발생,1293
2001,도봉,절도,검거,743
2001,도봉,폭력,발생,3115
2001,도봉,폭력,검거,2866
2001,수서,살인,발생,4
2001,수서,살인,검거,5
2001,수서,강도,발생,64
2001,수서,강도,검거,35
2001,수서,강간,발생,48
2001,수서,강간,검거,43
2001,수서,절도,발생,1665
2001,수서,절도,검거,632
2001,수서,폭력,발생,3164
2001,수서,폭력,검거,2629
