Date,Open,High,Low,Close,Adj Close,Volume
2016-04-15,61.419998,61.820000,59.430000,59.490002,47.579853,6987700
2016-04-18,59.490002,60.849998,58.099998,60.709999,48.555603,5606200
2016-04-19,61.029999,61.400002,59.709999,60.110001,48.075726,6157200
2016-04-20,60.000000,60.580002,59.160000,60.220001,48.163700,6518300
2016-04-21,60.220001,60.799999,59.259998,60.650002,48.507622,5053200
2016-04-22,60.480000,61.360001,60.480000,61.240002,48.979496,3973800
2016-04-25,61.250000,61.910000,60.880001,61.770000,49.403381,4362200
2016-04-26,62.150002,62.419998,61.369999,61.810001,49.435371,4213900
2016-04-27,61.770000,62.540001,60.799999,62.189999,49.739296,4611800
2016-04-28,61.759998,63.029999,60.730000,60.910000,48.715557,4581200
2016-04-29,60.470001,60.750000,58.540001,58.869999,47.083977,6701300
2016-05-02,58.959999,60.099998,58.110001,59.820000,47.843784,5419000
2016-05-03,58.029999,58.970001,57.049999,57.630001,46.092232,8338500
2016-05-04,57.630001,58.189999,55.689999,56.150002,44.908539,8052600
2016-05-05,56.720001,56.990002,55.349998,55.610001,44.476639,6325600
2016-05-06,55.340000,56.419998,55.070000,55.360001,44.276691,6734100
2016-05-09,55.230000,55.389999,54.080002,54.980000,43.972771,5390700
2016-05-10,55.230000,56.189999,55.209999,56.000000,44.788563,4913700
2016-05-11,56.000000,56.660000,55.459999,55.869999,44.684582,5687900
2016-05-12,56.189999,56.360001,54.450001,54.779999,43.812813,4516600
2016-05-13,54.959999,55.700001,54.410000,55.110001,44.076752,4555600
2016-05-16,55.270000,55.380001,53.869999,55.189999,44.140732,5794800
2016-05-17,55.000000,56.060001,54.930000,55.250000,44.188705,4382400
2016-05-18,55.360001,57.410000,55.299999,56.439999,45.140469,5813400
2016-05-19,56.049999,57.169998,54.830002,55.400002,44.308685,5244700
2016-05-20,55.590000,56.299999,55.150002,56.130001,44.892536,3498400
2016-05-23,55.340000,55.810001,54.389999,54.459999,44.027508,4635500
2016-05-24,55.020000,55.540001,54.560001,55.349998,44.747013,5390800
2016-05-25,55.389999,55.480000,54.000000,54.619999,44.156857,6709800
2016-05-26,54.869999,54.889999,53.509998,54.090000,43.728382,5436700
2016-05-27,54.160000,54.930000,53.529999,54.570000,44.116436,4437700
2016-05-31,54.570000,55.200001,53.880001,54.700001,44.221531,6194400
2016-06-01,54.700001,56.080002,54.459999,55.750000,45.070393,6355000
2016-06-02,55.700001,56.730000,55.650002,55.720001,45.046139,5520900
2016-06-03,55.549999,55.750000,54.380001,55.150002,44.585331,4541500
2016-06-06,55.200001,55.290001,53.970001,54.919998,44.399391,5254700
2016-06-07,55.110001,56.150002,54.919998,55.639999,44.981461,5563300
2016-06-08,56.000000,56.040001,54.259998,54.389999,43.970917,6276500
2016-06-09,54.139999,54.240002,53.369999,53.810001,43.502029,6292200
2016-06-10,53.520000,53.959999,53.130001,53.430000,43.194820,4673700
2016-06-13,53.130001,53.250000,50.889999,51.020000,41.246487,8842700
2016-06-14,51.000000,51.900002,50.029999,50.790001,41.060539,7432000
2016-06-15,50.450001,51.779999,50.150002,51.290001,41.464760,8192100
2016-06-16,51.049999,51.950001,50.700001,51.790001,41.868988,5707900
2016-06-17,51.910000,52.660000,51.360001,51.709999,41.804306,7102000
2016-06-20,52.240002,52.639999,51.580002,51.680000,41.780048,4520000
2016-06-21,51.700001,52.689999,51.270000,52.470001,42.418720,4809500
2016-06-22,52.549999,53.200001,52.220001,52.810001,42.693584,5301500
2016-06-23,53.400002,53.930000,53.320000,53.709999,43.421177,5570900
2016-06-24,51.900002,53.240002,51.619999,52.560001,42.491482,8054900
2016-06-27,52.070000,52.169998,50.750000,51.130001,41.335407,6175400
2016-06-28,52.049999,52.049999,50.529999,51.830002,41.901318,7708900
2016-06-29,52.070000,52.650002,51.509998,51.919998,41.974079,7510100
2016-06-30,51.810001,51.939999,49.910000,51.000000,41.230320,10412900
2016-07-01,50.790001,51.779999,50.759998,51.430000,41.577942,5896200
2016-07-05,51.419998,51.470001,49.330002,49.840000,40.292526,7937300
2016-07-06,49.570000,49.740002,47.380001,48.660000,39.338570,11096200
2016-07-07,48.950001,50.099998,47.169998,47.240002,38.190598,10444200
2016-07-08,47.619999,48.419998,46.880001,47.730000,38.586735,9573700
2016-07-11,48.130001,48.630001,47.709999,48.490002,39.201138,6178200
2016-07-12,48.980000,49.320000,48.560001,49.250000,39.815548,7872400
