구분,죄종,발생검거,검거,date
중부,살인,발생,4.0,2012-01-01
중부,살인,검거,5.0,2012-01-01
중부,강도,발생,9.0,2012-01-01
중부,강도,검거,8.0,2012-01-01
중부,강간,발생,100.0,2012-01-01
중부,강간,검거,73.0,2012-01-01
중부,절도,발생,1497.0,2012-01-01
중부,절도,검거,421.0,2012-01-01
중부,폭력,발생,1580.0,2012-01-01
중부,폭력,검거,1361.0,2012-01-01
종로,살인,발생,2.0,2012-01-01
종로,살인,검거,1.0,2012-01-01
종로,강도,발생,5.0,2012-01-01
종로,강도,검거,3.0,2012-01-01
종로,강간,발생,93.0,2012-01-01
종로,강간,검거,77.0,2012-01-01
종로,절도,발생,1036.0,2012-01-01
종로,절도,검거,344.0,2012-01-01
종로,폭력,발생,1279.0,2012-01-01
종로,폭력,검거,1079.0,2012-01-01
남대문,살인,발생,1.0,2012-01-01
남대문,살인,검거,1.0,2012-01-01
남대문,강도,발생,5.0,2012-01-01
남대문,강도,검거,4.0,2012-01-01
남대문,강간,발생,68.0,2012-01-01
남대문,강간,검거,60.0,2012-01-01
남대문,절도,발생,892.0,2012-01-01
남대문,절도,검거,353.0,2012-01-01
남대문,폭력,발생,1116.0,2012-01-01
남대문,폭력,검거,984.0,2012-01-01
서대문,살인,발생,7.0,2012-01-01
서대문,살인,검거,8.0,2012-01-01
서대문,강도,발생,15.0,2012-01-01
서대문,강도,검거,18.0,2012-01-01
서대문,강간,발생,191.0,2012-01-01
서대문,강간,검거,173.0,2012-01-01
서대문,절도,발생,2039.0,2012-01-01
서대문,절도,검거,777.0,2012-01-01
서대문,폭력,발생,2120.0,2012-01-01
서대문,폭력,검거,1715.0,2012-01-01
혜화,살인,발생,2.0,2012-01-01
혜화,살인,검거,2.0,2012-01-01
혜화,강도,발생,10.0,2012-01-01
혜화,강도,검거,12.0,2012-01-01
혜화,강간,발생,70.0,2012-01-01
혜화,강간,검거,51.0,2012-01-01
혜화,절도,발생,1264.0,2012-01-01
혜화,절도,검거,610.0,2012-01-01
혜화,폭력,발생,1342.0,2012-01-01
혜화,폭력,검거,1164.0,2012-01-01
용산,살인,발생,7.0,2012-01-01
용산,살인,검거,8.0,2012-01-01
용산,강도,발생,32.0,2012-01-01
용산,강도,검거,27.0,2012-01-01
용산,강간,발생,165.0,2012-01-01
용산,강간,검거,143.0,2012-01-01
용산,절도,발생,1517.0,2012-01-01
용산,절도,검거,602.0,2012-01-01
용산,폭력,발생,2268.0,2012-01-01
용산,폭력,검거,1894.0,2012-01-01
성북,살인,발생,5.0,2012-01-01
성북,살인,검거,4.0,2012-01-01
성북,강도,발생,8.0,2012-01-01
성북,강도,검거,4.0,2012-01-01
성북,강간,발생,105.0,2012-01-01
성북,강간,검거,82.0,2012-01-01
성북,절도,발생,1226.0,2012-01-01
성북,절도,검거,364.0,2012-01-01
성북,폭력,발생,1270.0,2012-01-01
성북,폭력,검거,1056.0,2012-01-01
동대문,살인,발생,11.0,2012-01-01
동대문,살인,검거,10.0,2012-01-01
동대문,강도,발생,26.0,2012-01-01
동대문,강도,검거,15.0,2012-01-01
동대문,강간,발생,166.0,2012-01-01
동대문,강간,검거,125.0,2012-01-01
동대문,절도,발생,2200.0,2012-01-01
동대문,절도,검거,553.0,2012-01-01
동대문,폭력,발생,2779.0,2012-01-01
동대문,폭력,검거,2354.0,2012-01-01
마포,살인,발생,4.0,2012-01-01
마포,살인,검거,4.0,2012-01-01
마포,강도,발생,16.0,2012-01-01
마포,강도,검거,12.0,2012-01-01
마포,강간,발생,224.0,2012-01-01
마포,강간,검거,161.0,2012-01-01
마포,절도,발생,2911.0,2012-01-01
마포,절도,검거,633.0,2012-01-01
마포,폭력,발생,2957.0,2012-01-01
마포,폭력,검거,2359.0,2012-01-01
영등포,살인,발생,18.0,2012-01-01
영등포,살인,검거,18.0,2012-01-01
영등포,강도,발생,27.0,2012-01-01
영등포,강도,검거,19.0,2012-01-01
영등포,강간,발생,237.0,2012-01-01
영등포,강간,검거,199.0,2012-01-01
영등포,절도,발생,3052.0,2012-01-01
영등포,절도,검거,776.0,2012-01-01
영등포,폭력,발생,4049.0,2012-01-01
영등포,폭력,검거,3358.0,2012-01-01
성동,살인,발생,3.0,2012-01-01
성동,살인,검거,3.0,2012-01-01
성동,강도,발생,11.0,2012-01-01
성동,강도,검거,11.0,2012-01-01
성동,강간,발생,114.0,2012-01-01
성동,강간,검거,84.0,2012-01-01
성동,절도,발생,1743.0,2012-01-01
성동,절도,검거,545.0,2012-01-01
성동,폭력,발생,1715.0,2012-01-01
성동,폭력,검거,1401.0,2012-01-01
동작,살인,발생,2.0,2012-01-01
동작,살인,검거,2.0,2012-01-01
동작,강도,발생,15.0,2012-01-01
동작,강도,검거,5.0,2012-01-01
동작,강간,발생,170.0,2012-01-01
동작,강간,검거,112.0,2012-01-01
동작,절도,발생,2012.0,2012-01-01
동작,절도,검거,470.0,2012-01-01
동작,폭력,발생,1915.0,2012-01-01
동작,폭력,검거,1582.0,2012-01-01
광진,살인,발생,6.0,2012-01-01
광진,살인,검거,7.0,2012-01-01
광진,강도,발생,27.0,2012-01-01
광진,강도,검거,28.0,2012-01-01
광진,강간,발생,246.0,2012-01-01
광진,강간,검거,198.0,2012-01-01
광진,절도,발생,2904.0,2012-01-01
광진,절도,검거,1258.0,2012-01-01
광진,폭력,발생,3038.0,2012-01-01
광진,폭력,검거,2442.0,2012-01-01
서부,살인,발생,3.0,2012-01-01
서부,살인,검거,3.0,2012-01-01
서부,강도,발생,7.0,2012-01-01
서부,강도,검거,6.0,2012-01-01
서부,강간,발생,76.0,2012-01-01
서부,강간,검거,71.0,2012-01-01
서부,절도,발생,954.0,2012-01-01
서부,절도,검거,376.0,2012-01-01
서부,폭력,발생,1246.0,2012-01-01
서부,폭력,검거,1050.0,2012-01-01
강북,살인,발생,3.0,2012-01-01
강북,살인,검거,3.0,2012-01-01
강북,강도,발생,23.0,2012-01-01
강북,강도,검거,23.0,2012-01-01
강북,강간,발생,153.0,2012-01-01
강북,강간,검거,126.0,2012-01-01
강북,절도,발생,1362.0,2012-01-01
강북,절도,검거,497.0,2012-01-01
강북,폭력,발생,2727.0,2012-01-01
강북,폭력,검거,2413.0,2012-01-01
금천,살인,발생,8.0,2012-01-01
금천,살인,검거,7.0,2012-01-01
금천,강도,발생,26.0,2012-01-01
금천,강도,검거,23.0,2012-01-01
금천,강간,발생,127.0,2012-01-01
금천,강간,검거,122.0,2012-01-01
금천,절도,발생,1656.0,2012-01-01
금천,절도,검거,702.0,2012-01-01
금천,폭력,발생,2293.0,2012-01-01
금천,폭력,검거,1928.0,2012-01-01
중랑,살인,발생,9.0,2012-01-01
중랑,살인,검거,9.0,2012-01-01
중랑,강도,발생,32.0,2012-01-01
중랑,강도,검거,29.0,2012-01-01
중랑,강간,발생,185.0,2012-01-01
중랑,강간,검거,144.0,2012-01-01
중랑,절도,발생,2169.0,2012-01-01
중랑,절도,검거,705.0,2012-01-01
중랑,폭력,발생,3483.0,2012-01-01
중랑,폭력,검거,2936.0,2012-01-01
강남,살인,발생,6.0,2012-01-01
강남,살인,검거,4.0,2012-01-01
강남,강도,발생,27.0,2012-01-01
강남,강도,검거,18.0,2012-01-01
강남,강간,발생,255.0,2012-01-01
강남,강간,검거,164.0,2012-01-01
강남,절도,발생,2845.0,2012-01-01
강남,절도,검거,793.0,2012-01-01
강남,폭력,발생,3128.0,2012-01-01
강남,폭력,검거,2572.0,2012-01-01
관악,살인,발생,7.0,2012-01-01
관악,살인,검거,7.0,2012-01-01
관악,강도,발생,43.0,2012-01-01
관악,강도,검거,28.0,2012-01-01
관악,강간,발생,355.0,2012-01-01
관악,강간,검거,237.0,2012-01-01
관악,절도,발생,3067.0,2012-01-01
관악,절도,검거,854.0,2012-01-01
관악,폭력,발생,3420.0,2012-01-01
