구분,죄종,발생검거,건수,date
중부,살인,발생,1,2018-01-01
중부,살인,검거,1,2018-01-01
중부,강도,발생,5,2018-01-01
중부,강도,검거,7,2018-01-01
중부,강간,발생,132,2018-01-01
중부,강간,검거,63,2018-01-01
중부,절도,발생,1057,2018-01-01
중부,절도,검거,415,2018-01-01
중부,폭력,발생,1176,2018-01-01
중부,폭력,검거,1010,2018-01-01
종로,살인,발생,5,2018-01-01
종로,살인,검거,4,2018-01-01
종로,강도,발생,1,2018-01-01
종로,강도,검거,0,2018-01-01
종로,강간,발생,136,2018-01-01
종로,강간,검거,114,2018-01-01
종로,절도,발생,744,2018-01-01
종로,절도,검거,398,2018-01-01
종로,폭력,발생,1131,2018-01-01
종로,폭력,검거,993,2018-01-01
남대문,살인,발생,1,2018-01-01
남대문,살인,검거,1,2018-01-01
남대문,강도,발생,6,2018-01-01
남대문,강도,검거,4,2018-01-01
남대문,강간,발생,75,2018-01-01
남대문,강간,검거,52,2018-01-01
남대문,절도,발생,798,2018-01-01
남대문,절도,검거,417,2018-01-01
남대문,폭력,발생,779,2018-01-01
남대문,폭력,검거,709,2018-01-01
서대문,살인,발생,5,2018-01-01
서대문,살인,검거,4,2018-01-01
서대문,강도,발생,3,2018-01-01
서대문,강도,검거,3,2018-01-01
서대문,강간,발생,206,2018-01-01
서대문,강간,검거,189,2018-01-01
서대문,절도,발생,1062,2018-01-01
서대문,절도,검거,585,2018-01-01
서대문,폭력,발생,1526,2018-01-01
서대문,폭력,검거,1235,2018-01-01
혜화,살인,발생,1,2018-01-01
혜화,살인,검거,1,2018-01-01
혜화,강도,발생,2,2018-01-01
혜화,강도,검거,2,2018-01-01
혜화,강간,발생,100,2018-01-01
혜화,강간,검거,58,2018-01-01
혜화,절도,발생,739,2018-01-01
혜화,절도,검거,340,2018-01-01
혜화,폭력,발생,831,2018-01-01
혜화,폭력,검거,712,2018-01-01
용산,살인,발생,1,2018-01-01
용산,살인,검거,1,2018-01-01
용산,강도,발생,3,2018-01-01
용산,강도,검거,2,2018-01-01
용산,강간,발생,331,2018-01-01
용산,강간,검거,285,2018-01-01
용산,절도,발생,1096,2018-01-01
용산,절도,검거,522,2018-01-01
용산,폭력,발생,1980,2018-01-01
용산,폭력,검거,1733,2018-01-01
성북,살인,발생,1,2018-01-01
성북,살인,검거,1,2018-01-01
성북,강도,발생,0,2018-01-01
성북,강도,검거,0,2018-01-01
성북,강간,발생,125,2018-01-01
성북,강간,검거,90,2018-01-01
성북,절도,발생,600,2018-01-01
성북,절도,검거,298,2018-01-01
성북,폭력,발생,886,2018-01-01
성북,폭력,검거,798,2018-01-01
동대문,살인,발생,2,2018-01-01
동대문,살인,검거,2,2018-01-01
동대문,강도,발생,5,2018-01-01
동대문,강도,검거,4,2018-01-01
동대문,강간,발생,145,2018-01-01
동대문,강간,검거,112,2018-01-01
