구분,죄종,발생검거,건수,date
중부,살인,발생,4.0,2008-01-01
중부,살인,검거,4.0,2008-01-01
중부,강도,발생,20.0,2008-01-01
중부,강도,검거,26.0,2008-01-01
중부,강간,발생,76.0,2008-01-01
중부,강간,검거,72.0,2008-01-01
중부,절도,발생,699.0,2008-01-01
중부,절도,검거,507.0,2008-01-01
중부,폭력,발생,1898.0,2008-01-01
중부,폭력,검거,1855.0,2008-01-01
종로,살인,발생,5.0,2008-01-01
종로,살인,검거,6.0,2008-01-01
종로,강도,발생,13.0,2008-01-01
종로,강도,검거,16.0,2008-01-01
종로,강간,발생,86.0,2008-01-01
종로,강간,검거,99.0,2008-01-01
종로,절도,발생,558.0,2008-01-01
종로,절도,검거,321.0,2008-01-01
종로,폭력,발생,1330.0,2008-01-01
종로,폭력,검거,1216.0,2008-01-01
남대문,살인,발생,1.0,2008-01-01
남대문,살인,검거,1.0,2008-01-01
남대문,강도,발생,10.0,2008-01-01
남대문,강도,검거,12.0,2008-01-01
남대문,강간,발생,57.0,2008-01-01
남대문,강간,검거,56.0,2008-01-01
남대문,절도,발생,596.0,2008-01-01
남대문,절도,검거,477.0,2008-01-01
남대문,폭력,발생,1208.0,2008-01-01
남대문,폭력,검거,1150.0,2008-01-01
서대문,살인,발생,8.0,2008-01-01
서대문,살인,검거,9.0,2008-01-01
서대문,강도,발생,35.0,2008-01-01
서대문,강도,검거,22.0,2008-01-01
서대문,강간,발생,124.0,2008-01-01
서대문,강간,검거,107.0,2008-01-01
서대문,절도,발생,1345.0,2008-01-01
서대문,절도,검거,655.0,2008-01-01
서대문,폭력,발생,2610.0,2008-01-01
서대문,폭력,검거,2407.0,2008-01-01
혜화,살인,발생,3.0,2008-01-01
혜화,살인,검거,3.0,2008-01-01
혜화,강도,발생,15.0,2008-01-01
혜화,강도,검거,18.0,2008-01-01
혜화,강간,발생,69.0,2008-01-01
혜화,강간,검거,52.0,2008-01-01
혜화,절도,발생,416.0,2008-01-01
혜화,절도,검거,412.0,2008-01-01
혜화,폭력,발생,1678.0,2008-01-01
혜화,폭력,검거,1691.0,2008-01-01
용산,살인,발생,7.0,2008-01-01
용산,살인,검거,6.0,2008-01-01
용산,강도,발생,19.0,2008-01-01
용산,강도,검거,11.0,2008-01-01
용산,강간,발생,74.0,2008-01-01
용산,강간,검거,70.0,2008-01-01
용산,절도,발생,708.0,2008-01-01
용산,절도,검거,519.0,2008-01-01
용산,폭력,발생,1781.0,2008-01-01
용산,폭력,검거,1735.0,2008-01-01
성북,살인,발생,5.0,2008-01-01
성북,살인,검거,4.0,2008-01-01
성북,강도,발생,21.0,2008-01-01
성북,강도,검거,20.0,2008-01-01
성북,강간,발생,85.0,2008-01-01
성북,강간,검거,60.0,2008-01-01
성북,절도,발생,622.0,2008-01-01
성북,절도,검거,421.0,2008-01-01
성북,폭력,발생,1477.0,2008-01-01
성북,폭력,검거,1424.0,2008-01-01
동대문,살인,발생,11.0,2008-01-01
동대문,살인,검거,9.0,2008-01-01
동대문,강도,발생,38.0,2008-01-01
동대문,강도,검거,25.0,2008-01-01
동대문,강간,발생,114.0,2008-01-01
동대문,강간,검거,106.0,2008-01-01
동대문,절도,발생,731.0,2008-01-01
동대문,절도,검거,596.0,2008-01-01
동대문,폭력,발생,3221.0,2008-01-01
동대문,폭력,검거,3194.0,2008-01-01
마포,살인,발생,8.0,2008-01-01
마포,살인,검거,4.0,2008-01-01
마포,강도,발생,24.0,2008-01-01
마포,강도,검거,24.0,2008-01-01
마포,강간,발생,109.0,2008-01-01
마포,강간,검거,106.0,2008-01-01
마포,절도,발생,720.0,2008-01-01
마포,절도,검거,483.0,2008-01-01
마포,폭력,발생,2642.0,2008-01-01
마포,폭력,검거,2622.0,2008-01-01
영등포,살인,발생,19.0,2008-01-01
영등포,살인,검거,18.0,2008-01-01
영등포,강도,발생,43.0,2008-01-01
영등포,강도,검거,32.0,2008-01-01
영등포,강간,발생,144.0,2008-01-01
영등포,강간,검거,130.0,2008-01-01
영등포,절도,발생,1170.0,2008-01-01
영등포,절도,검거,738.0,2008-01-01
영등포,폭력,발생,3914.0,2008-01-01
영등포,폭력,검거,3752.0,2008-01-01
성동,살인,발생,1.0,2008-01-01
성동,살인,검거,3.0,2008-01-01
성동,강도,발생,32.0,2008-01-01
성동,강도,검거,23.0,2008-01-01
성동,강간,발생,95.0,2008-01-01
성동,강간,검거,92.0,2008-01-01
성동,절도,발생,1179.0,2008-01-01
성동,절도,검거,697.0,2008-01-01
성동,폭력,발생,2093.0,2008-01-01
성동,폭력,검거,1982.0,2008-01-01
동작,살인,발생,9.0,2008-01-01
동작,살인,검거,7.0,2008-01-01
동작,강도,발생,28.0,2008-01-01
동작,강도,검거,17.0,2008-01-01
동작,강간,발생,170.0,2008-01-01
동작,강간,검거,100.0,2008-01-01
동작,절도,발생,928.0,2008-01-01
동작,절도,검거,451.0,2008-01-01
동작,폭력,발생,2211.0,2008-01-01
동작,폭력,검거,2106.0,2008-01-01
광진,살인,발생,3.0,2008-01-01
광진,살인,검거,5.0,2008-01-01
광진,강도,발생,48.0,2008-01-01
광진,강도,검거,32.0,2008-01-01
광진,강간,발생,146.0,2008-01-01
광진,강간,검거,133.0,2008-01-01
광진,절도,발생,2125.0,2008-01-01
광진,절도,검거,835.0,2008-01-01
광진,폭력,발생,2986.0,2008-01-01
광진,폭력,검거,2641.0,2008-01-01
서부,살인,발생,3.0,2008-01-01
서부,살인,검거,3.0,2008-01-01
서부,강도,발생,12.0,2008-01-01
서부,강도,검거,14.0,2008-01-01
서부,강간,발생,48.0,2008-01-01
서부,강간,검거,48.0,2008-01-01
서부,절도,발생,483.0,2008-01-01
서부,절도,검거,302.0,2008-01-01
서부,폭력,발생,1366.0,2008-01-01
서부,폭력,검거,1301.0,2008-01-01
강북,살인,발생,7.0,2008-01-01
강북,살인,검거,8.0,2008-01-01
강북,강도,발생,43.0,2008-01-01
강북,강도,검거,46.0,2008-01-01
강북,강간,발생,122.0,2008-01-01
강북,강간,검거,119.0,2008-01-01
강북,절도,발생,650.0,2008-01-01
강북,절도,검거,576.0,2008-01-01
강북,폭력,발생,2515.0,2008-01-01
강북,폭력,검거,2483.0,2008-01-01
금천,살인,발생,3.0,2008-01-01
금천,살인,검거,3.0,2008-01-01
금천,강도,발생,31.0,2008-01-01
금천,강도,검거,18.0,2008-01-01
금천,강간,발생,104.0,2008-01-01
금천,강간,검거,92.0,2008-01-01
금천,절도,발생,1030.0,2008-01-01
금천,절도,검거,638.0,2008-01-01
금천,폭력,발생,2530.0,2008-01-01
금천,폭력,검거,2389.0,2008-01-01
중랑,살인,발생,7.0,2008-01-01
중랑,살인,검거,7.0,2008-01-01
중랑,강도,발생,30.0,2008-01-01
중랑,강도,검거,26.0,2008-01-01
중랑,강간,발생,114.0,2008-01-01
중랑,강간,검거,112.0,2008-01-01
중랑,절도,발생,1022.0,2008-01-01
중랑,절도,검거,973.0,2008-01-01
중랑,폭력,발생,3401.0,2008-01-01
중랑,폭력,검거,3394.0,2008-01-01
강남,살인,발생,10.0,2008-01-01
강남,살인,검거,3.0,2008-01-01
강남,강도,발생,45.0,2008-01-01
강남,강도,검거,26.0,2008-01-01
강남,강간,발생,161.0,2008-01-01
강남,강간,검거,123.0,2008-01-01
강남,절도,발생,854.0,2008-01-01
강남,절도,검거,446.0,2008-01-01
강남,폭력,발생,2936.0,2008-01-01
강남,폭력,검거,2796.0,2008-01-01
관악,살인,발생,10.0,2008-01-01
관악,살인,검거,9.0,2008-01-01
관악,강도,발생,33.0,2008-01-01
관악,강도,검거,29.0,2008-01-01
관악,강간,발생,216.0,2008-01-01
관악,강간,검거,139.0,2008-01-01
관악,절도,발생,1556.0,2008-01-01
관악,절도,검거,651.0,2008-01-01
관악,폭력,발생,3519.0,2008-01-01
관악,폭력,검거,3267.0,2008-01-01
강서,살인,발생,18.0,2008-01-01
강서,살인,검거,17.0,2008-01-01
강서,강도,발생,36.0,2008-01-01
강서,강도,검거,32.0,2008-01-01
강서,강간,발생,129.0,2008-01-01
강서,강간,검거,119.0,2008-01-01
강서,절도,발생,1322.0,2008-01-01
강서,절도,검거,557.0,2008-01-01
강서,폭력,발생,3487.0,2008-01-01
강서,폭력,검거,3336.0,2008-01-01
강동,살인,발생,8.0,2008-01-01
강동,살인,검거,8.0,2008-01-01
강동,강도,발생,52.0,2008-01-01
강동,강도,검거,54.0,2008-01-01
강동,강간,발생,111.0,2008-01-01
강동,강간,검거,100.0,2008-01-01
강동,절도,발생,885.0,2008-01-01
강동,절도,검거,949.0,2008-01-01
강동,폭력,발생,3051.0,2008-01-01
강동,폭력,검거,3005.0,2008-01-01
종암,살인,발생,5.0,2008-01-01
종암,살인,검거,6.0,2008-01-01
종암,강도,발생,25.0,2008-01-01
종암,강도,검거,27.0,2008-01-01
종암,강간,발생,49.0,2008-01-01
종암,강간,검거,44.0,2008-01-01
종암,절도,발생,478.0,2008-01-01
종암,절도,검거,347.0,2008-01-01
종암,폭력,발생,1139.0,2008-01-01
종암,폭력,검거,1100.0,2008-01-01
구로,살인,발생,22.0,2008-01-01
구로,살인,검거,23.0,2008-01-01
구로,강도,발생,58.0,2008-01-01
구로,강도,검거,59.0,2008-01-01
구로,강간,발생,209.0,2008-01-01
구로,강간,검거,111.0,2008-01-01
구로,절도,발생,1194.0,2008-01-01
구로,절도,검거,701.0,2008-01-01
구로,폭력,발생,3329.0,2008-01-01
구로,폭력,검거,3187.0,2008-01-01
서초,살인,발생,1.0,2008-01-01
서초,살인,검거,4.0,2008-01-01
서초,강도,발생,28.0,2008-01-01
서초,강도,검거,10.0,2008-01-01
서초,강간,발생,155.0,2008-01-01
서초,강간,검거,104.0,2008-01-01
서초,절도,발생,695.0,2008-01-01
서초,절도,검거,522.0,2008-01-01
서초,폭력,발생,2098.0,2008-01-01
서초,폭력,검거,1987.0,2008-01-01
양천,살인,발생,11.0,2008-01-01
양천,살인,검거,12.0,2008-01-01
양천,강도,발생,38.0,2008-01-01
양천,강도,검거,40.0,2008-01-01
양천,강간,발생,94.0,2008-01-01
양천,강간,검거,85.0,2008-01-01
양천,절도,발생,1083.0,2008-01-01
양천,절도,검거,559.0,2008-01-01
양천,폭력,발생,2406.0,2008-01-01
양천,폭력,검거,2270.0,2008-01-01
송파,살인,발생,10.0,2008-01-01
송파,살인,검거,10.0,2008-01-01
송파,강도,발생,54.0,2008-01-01
송파,강도,검거,44.0,2008-01-01
송파,강간,발생,174.0,2008-01-01
송파,강간,검거,163.0,2008-01-01
송파,절도,발생,1437.0,2008-01-01
송파,절도,검거,752.0,2008-01-01
송파,폭력,발생,3862.0,2008-01-01
송파,폭력,검거,3709.0,2008-01-01
노원,살인,발생,3.0,2008-01-01
노원,살인,검거,4.0,2008-01-01
노원,강도,발생,25.0,2008-01-01
노원,강도,검거,22.0,2008-01-01
노원,강간,발생,108.0,2008-01-01
노원,강간,검거,99.0,2008-01-01
노원,절도,발생,922.0,2008-01-01
노원,절도,검거,684.0,2008-01-01
노원,폭력,발생,3085.0,2008-01-01
노원,폭력,검거,3015.0,2008-01-01
방배,살인,발생,0.0,2008-01-01
방배,살인,검거,0.0,2008-01-01
방배,강도,발생,12.0,2008-01-01
방배,강도,검거,10.0,2008-01-01
방배,강간,발생,36.0,2008-01-01
방배,강간,검거,34.0,2008-01-01
방배,절도,발생,295.0,2008-01-01
방배,절도,검거,200.0,2008-01-01
방배,폭력,발생,747.0,2008-01-01
방배,폭력,검거,745.0,2008-01-01
은평,살인,발생,7.0,2008-01-01
은평,살인,검거,6.0,2008-01-01
은평,강도,발생,19.0,2008-01-01
은평,강도,검거,20.0,2008-01-01
은평,강간,발생,40.0,2008-01-01
은평,강간,검거,38.0,2008-01-01
은평,절도,발생,676.0,2008-01-01
은평,절도,검거,355.0,2008-01-01
은평,폭력,발생,1700.0,2008-01-01
은평,폭력,검거,1585.0,2008-01-01
도봉,살인,발생,9.0,2008-01-01
도봉,살인,검거,10.0,2008-01-01
도봉,강도,발생,22.0,2008-01-01
도봉,강도,검거,18.0,2008-01-01
도봉,강간,발생,88.0,2008-01-01
도봉,강간,검거,63.0,2008-01-01
도봉,절도,발생,1148.0,2008-01-01
도봉,절도,검거,383.0,2008-01-01
도봉,폭력,발생,1929.0,2008-01-01
도봉,폭력,검거,1816.0,2008-01-01
수서,살인,발생,3.0,2008-01-01
수서,살인,검거,5.0,2008-01-01
수서,강도,발생,39.0,2008-01-01
수서,강도,검거,40.0,2008-01-01
수서,강간,발생,111.0,2008-01-01
수서,강간,검거,99.0,2008-01-01
수서,절도,발생,1365.0,2008-01-01
수서,절도,검거,539.0,2008-01-01
수서,폭력,발생,2138.0,2008-01-01
수서,폭력,검거,1853.0,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
,,,,2008-01-01
