구분,죄종,발생검거,건수,date
중부,살인,발생,1.0,2009-01-01
중부,살인,검거,1.0,2009-01-01
중부,강도,발생,28.0,2009-01-01
중부,강도,검거,24.0,2009-01-01
중부,강간,발생,94.0,2009-01-01
중부,강간,검거,78.0,2009-01-01
중부,절도,발생,879.0,2009-01-01
중부,절도,검거,850.0,2009-01-01
중부,폭력,발생,1858.0,2009-01-01
중부,폭력,검거,1794.0,2009-01-01
종로,살인,발생,6.0,2009-01-01
종로,살인,검거,6.0,2009-01-01
종로,강도,발생,25.0,2009-01-01
종로,강도,검거,26.0,2009-01-01
종로,강간,발생,77.0,2009-01-01
종로,강간,검거,78.0,2009-01-01
종로,절도,발생,732.0,2009-01-01
종로,절도,검거,547.0,2009-01-01
종로,폭력,발생,1364.0,2009-01-01
종로,폭력,검거,1282.0,2009-01-01
남대문,살인,발생,2.0,2009-01-01
남대문,살인,검거,4.0,2009-01-01
남대문,강도,발생,15.0,2009-01-01
남대문,강도,검거,21.0,2009-01-01
남대문,강간,발생,52.0,2009-01-01
남대문,강간,검거,51.0,2009-01-01
남대문,절도,발생,683.0,2009-01-01
남대문,절도,검거,715.0,2009-01-01
남대문,폭력,발생,1146.0,2009-01-01
남대문,폭력,검거,989.0,2009-01-01
서대문,살인,발생,9.0,2009-01-01
서대문,살인,검거,11.0,2009-01-01
서대문,강도,발생,67.0,2009-01-01
서대문,강도,검거,82.0,2009-01-01
서대문,강간,발생,153.0,2009-01-01
서대문,강간,검거,148.0,2009-01-01
서대문,절도,발생,2098.0,2009-01-01
서대문,절도,검거,1434.0,2009-01-01
서대문,폭력,발생,2672.0,2009-01-01
서대문,폭력,검거,2520.0,2009-01-01
혜화,살인,발생,1.0,2009-01-01
혜화,살인,검거,1.0,2009-01-01
혜화,강도,발생,38.0,2009-01-01
혜화,강도,검거,29.0,2009-01-01
혜화,강간,발생,58.0,2009-01-01
혜화,강간,검거,51.0,2009-01-01
혜화,절도,발생,780.0,2009-01-01
혜화,절도,검거,578.0,2009-01-01
혜화,폭력,발생,1637.0,2009-01-01
혜화,폭력,검거,1571.0,2009-01-01
