구분,죄종,발생검거,검거,date
금천,강도,검거,24.0,2011-01-01
금천,강간,발생,107.0,2011-01-01
금천,강간,검거,89.0,2011-01-01
금천,절도,발생,1527.0,2011-01-01
금천,절도,검거,753.0,2011-01-01
금천,폭력,발생,2399.0,2011-01-01
금천,폭력,검거,1960.0,2011-01-01
중랑,살인,발생,10.0,2011-01-01
중랑,살인,검거,10.0,2011-01-01
중랑,강도,발생,46.0,2011-01-01
중랑,강도,검거,55.0,2011-01-01
중랑,강간,발생,204.0,2011-01-01
중랑,강간,검거,186.0,2011-01-01
중랑,절도,발생,1898.0,2011-01-01
중랑,절도,검거,778.0,2011-01-01
중랑,폭력,발생,3771.0,2011-01-01
중랑,폭력,검거,3246.0,2011-01-01
강남,살인,발생,15.0,2011-01-01
강남,살인,검거,14.0,2011-01-01
강남,강도,발생,47.0,2011-01-01
강남,강도,검거,25.0,2011-01-01
강남,강간,발생,282.0,2011-01-01
강남,강간,검거,174.0,2011-01-01
강남,절도,발생,2442.0,2011-01-01
강남,절도,검거,711.0,2011-01-01
강남,폭력,발생,3195.0,2011-01-01
강남,폭력,검거,2747.0,2011-01-01
관악,살인,발생,19.0,2011-01-01
관악,살인,검거,17.0,2011-01-01
관악,강도,발생,54.0,2011-01-01
관악,강도,검거,36.0,2011-01-01
관악,강간,발생,361.0,2011-01-01
관악,강간,검거,222.0,2011-01-01
관악,절도,발생,2694.0,2011-01-01
관악,절도,검거,775.0,2011-01-01
관악,폭력,발생,3826.0,2011-01-01
관악,폭력,검거,3119.0,2011-01-01
강서,살인,발생,18.0,2011-01-01
강서,살인,검거,20.0,2011-01-01
강서,강도,발생,45.0,2011-01-01
강서,강도,검거,43.0,2011-01-01
강서,강간,발생,215.0,2011-01-01
강서,강간,검거,182.0,2011-01-01
강서,절도,발생,2776.0,2011-01-01
강서,절도,검거,861.0,2011-01-01
강서,폭력,발생,3346.0,2011-01-01
강서,폭력,검거,2748.0,2011-01-01
강동,살인,발생,7.0,2011-01-01
강동,살인,검거,6.0,2011-01-01
강동,강도,발생,36.0,2011-01-01
강동,강도,검거,31.0,2011-01-01
강동,강간,발생,191.0,2011-01-01
강동,강간,검거,142.0,2011-01-01
강동,절도,발생,2426.0,2011-01-01
강동,절도,검거,1011.0,2011-01-01
강동,폭력,발생,3065.0,2011-01-01
강동,폭력,검거,2532.0,2011-01-01
종암,살인,발생,4.0,2011-01-01
종암,살인,검거,4.0,2011-01-01
종암,강도,발생,17.0,2011-01-01
종암,강도,검거,15.0,2011-01-01
종암,강간,발생,75.0,2011-01-01
종암,강간,검거,65.0,2011-01-01
종암,절도,발생,971.0,2011-01-01
종암,절도,검거,382.0,2011-01-01
종암,폭력,발생,1055.0,2011-01-01
종암,폭력,검거,886.0,2011-01-01
구로,살인,발생,12.0,2011-01-01
구로,살인,검거,10.0,2011-01-01
구로,강도,발생,39.0,2011-01-01
구로,강도,검거,24.0,2011-01-01
구로,강간,발생,326.0,2011-01-01
구로,강간,검거,150.0,2011-01-01
구로,절도,발생,2014.0,2011-01-01
구로,절도,검거,984.0,2011-01-01
구로,폭력,발생,3327.0,2011-01-01
구로,폭력,검거,2804.0,2011-01-01
서초,살인,발생,7.0,2011-01-01
서초,살인,검거,4.0,2011-01-01
서초,강도,발생,28.0,2011-01-01
서초,강도,검거,15.0,2011-01-01
서초,강간,발생,283.0,2011-01-01
서초,강간,검거,147.0,2011-01-01
서초,절도,발생,1733.0,2011-01-01
서초,절도,검거,741.0,2011-01-01
서초,폭력,발생,1866.0,2011-01-01
서초,폭력,검거,1576.0,2011-01-01
양천,살인,발생,4.0,2011-01-01
양천,살인,검거,4.0,2011-01-01
양천,강도,발생,29.0,2011-01-01
양천,강도,검거,25.0,2011-01-01
양천,강간,발생,131.0,2011-01-01
양천,강간,검거,89.0,2011-01-01
양천,절도,발생,2016.0,2011-01-01
양천,절도,검거,698.0,2011-01-01
양천,폭력,발생,2627.0,2011-01-01
양천,폭력,검거,2062.0,2011-01-01
송파,살인,발생,6.0,2011-01-01
송파,살인,검거,5.0,2011-01-01
송파,강도,발생,54.0,2011-01-01
송파,강도,검거,38.0,2011-01-01
송파,강간,발생,292.0,2011-01-01
송파,강간,검거,209.0,2011-01-01
송파,절도,발생,4004.0,2011-01-01
송파,절도,검거,845.0,2011-01-01
송파,폭력,발생,3735.0,2011-01-01
송파,폭력,검거,2915.0,2011-01-01
노원,살인,발생,8.0,2011-01-01
노원,살인,검거,8.0,2011-01-01
노원,강도,발생,25.0,2011-01-01
노원,강도,검거,18.0,2011-01-01
노원,강간,발생,169.0,2011-01-01
노원,강간,검거,138.0,2011-01-01
노원,절도,발생,1723.0,2011-01-01
노원,절도,검거,890.0,2011-01-01
노원,폭력,발생,2594.0,2011-01-01
노원,폭력,검거,2234.0,2011-01-01
방배,살인,발생,2.0,2011-01-01
방배,살인,검거,2.0,2011-01-01
방배,강도,발생,11.0,2011-01-01
방배,강도,검거,7.0,2011-01-01
방배,강간,발생,40.0,2011-01-01
방배,강간,검거,35.0,2011-01-01
방배,절도,발생,565.0,2011-01-01
방배,절도,검거,234.0,2011-01-01
방배,폭력,발생,643.0,2011-01-01
방배,폭력,검거,562.0,2011-01-01
은평,살인,발생,10.0,2011-01-01
은평,살인,검거,8.0,2011-01-01
은평,강도,발생,21.0,2011-01-01
은평,강도,검거,13.0,2011-01-01
은평,강간,발생,82.0,2011-01-01
은평,강간,검거,73.0,2011-01-01
은평,절도,발생,1072.0,2011-01-01
은평,절도,검거,431.0,2011-01-01
은평,폭력,발생,1617.0,2011-01-01
은평,폭력,검거,1339.0,2011-01-01
도봉,살인,발생,10.0,2011-01-01
도봉,살인,검거,10.0,2011-01-01
도봉,강도,발생,29.0,2011-01-01
도봉,강도,검거,30.0,2011-01-01
도봉,강간,발생,100.0,2011-01-01
도봉,강간,검거,99.0,2011-01-01
도봉,절도,발생,1418.0,2011-01-01
도봉,절도,검거,375.0,2011-01-01
도봉,폭력,발생,1700.0,2011-01-01
도봉,폭력,검거,1440.0,2011-01-01
수서,살인,발생,8.0,2011-01-01
수서,살인,검거,5.0,2011-01-01
수서,강도,발생,26.0,2011-01-01
수서,강도,검거,30.0,2011-01-01
수서,강간,발생,159.0,2011-01-01
수서,강간,검거,109.0,2011-01-01
수서,절도,발생,1780.0,2011-01-01
수서,절도,검거,422.0,2011-01-01
수서,폭력,발생,2000.0,2011-01-01
수서,폭력,검거,1516.0,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
,,,,2011-01-01
