구분,죄종,발생검거,건수,date
중부,살인,발생,4.0,2007-01-01
중부,살인,검거,4.0,2007-01-01
중부,강도,발생,13.0,2007-01-01
중부,강도,검거,12.0,2007-01-01
중부,강간,발생,83.0,2007-01-01
중부,강간,검거,70.0,2007-01-01
중부,절도,발생,680.0,2007-01-01
중부,절도,검거,604.0,2007-01-01
중부,폭력,발생,1937.0,2007-01-01
중부,폭력,검거,1868.0,2007-01-01
종로,살인,발생,5.0,2007-01-01
종로,살인,검거,4.0,2007-01-01
종로,강도,발생,29.0,2007-01-01
종로,강도,검거,16.0,2007-01-01
종로,강간,발생,65.0,2007-01-01
종로,강간,검거,47.0,2007-01-01
종로,절도,발생,581.0,2007-01-01
종로,절도,검거,341.0,2007-01-01
종로,폭력,발생,1463.0,2007-01-01
종로,폭력,검거,1266.0,2007-01-01
남대문,살인,발생,0.0,2007-01-01
남대문,살인,검거,1.0,2007-01-01
남대문,강도,발생,16.0,2007-01-01
남대문,강도,검거,8.0,2007-01-01
남대문,강간,발생,39.0,2007-01-01
남대문,강간,검거,38.0,2007-01-01
남대문,절도,발생,653.0,2007-01-01
남대문,절도,검거,366.0,2007-01-01
남대문,폭력,발생,1209.0,2007-01-01
남대문,폭력,검거,1185.0,2007-01-01
서대문,살인,발생,4.0,2007-01-01
서대문,살인,검거,5.0,2007-01-01
서대문,강도,발생,21.0,2007-01-01
서대문,강도,검거,17.0,2007-01-01
서대문,강간,발생,121.0,2007-01-01
서대문,강간,검거,122.0,2007-01-01
서대문,절도,발생,1616.0,2007-01-01
서대문,절도,검거,640.0,2007-01-01
서대문,폭력,발생,2475.0,2007-01-01
서대문,폭력,검거,2283.0,2007-01-01
혜화,살인,발생,2.0,2007-01-01
혜화,살인,검거,2.0,2007-01-01
혜화,강도,발생,12.0,2007-01-01
혜화,강도,검거,12.0,2007-01-01
혜화,강간,발생,71.0,2007-01-01
혜화,강간,검거,57.0,2007-01-01
혜화,절도,발생,394.0,2007-01-01
혜화,절도,검거,596.0,2007-01-01
혜화,폭력,발생,1916.0,2007-01-01
혜화,폭력,검거,1966.0,2007-01-01
용산,살인,발생,9.0,2007-01-01
용산,살인,검거,7.0,2007-01-01
용산,강도,발생,24.0,2007-01-01
용산,강도,검거,27.0,2007-01-01
용산,강간,발생,114.0,2007-01-01
용산,강간,검거,89.0,2007-01-01
용산,절도,발생,734.0,2007-01-01
용산,절도,검거,583.0,2007-01-01
용산,폭력,발생,1682.0,2007-01-01
용산,폭력,검거,1635.0,2007-01-01
성북,살인,발생,4.0,2007-01-01
성북,살인,검거,5.0,2007-01-01
성북,강도,발생,23.0,2007-01-01
성북,강도,검거,19.0,2007-01-01
성북,강간,발생,66.0,2007-01-01
성북,강간,검거,44.0,2007-01-01
성북,절도,발생,629.0,2007-01-01
성북,절도,검거,439.0,2007-01-01
성북,폭력,발생,1376.0,2007-01-01
성북,폭력,검거,1332.0,2007-01-01
동대문,살인,발생,13.0,2007-01-01
동대문,살인,검거,12.0,2007-01-01
동대문,강도,발생,40.0,2007-01-01
동대문,강도,검거,39.0,2007-01-01
동대문,강간,발생,121.0,2007-01-01
동대문,강간,검거,121.0,2007-01-01
동대문,절도,발생,836.0,2007-01-01
동대문,절도,검거,710.0,2007-01-01
동대문,폭력,발생,3296.0,2007-01-01
동대문,폭력,검거,3256.0,2007-01-01
마포,살인,발생,5.0,2007-01-01
마포,살인,검거,5.0,2007-01-01
마포,강도,발생,28.0,2007-01-01
마포,강도,검거,26.0,2007-01-01
마포,강간,발생,139.0,2007-01-01
마포,강간,검거,135.0,2007-01-01
마포,절도,발생,912.0,2007-01-01
마포,절도,검거,483.0,2007-01-01
마포,폭력,발생,2947.0,2007-01-01
마포,폭력,검거,2684.0,2007-01-01
영등포,살인,발생,13.0,2007-01-01
영등포,살인,검거,12.0,2007-01-01
영등포,강도,발생,51.0,2007-01-01
영등포,강도,검거,46.0,2007-01-01
영등포,강간,발생,131.0,2007-01-01
영등포,강간,검거,120.0,2007-01-01
영등포,절도,발생,1446.0,2007-01-01
영등포,절도,검거,819.0,2007-01-01
영등포,폭력,발생,4025.0,2007-01-01
영등포,폭력,검거,3892.0,2007-01-01
성동,살인,발생,5.0,2007-01-01
성동,살인,검거,4.0,2007-01-01
성동,강도,발생,24.0,2007-01-01
성동,강도,검거,32.0,2007-01-01
성동,강간,발생,94.0,2007-01-01
성동,강간,검거,81.0,2007-01-01
성동,절도,발생,1006.0,2007-01-01
성동,절도,검거,781.0,2007-01-01
성동,폭력,발생,1944.0,2007-01-01
성동,폭력,검거,1859.0,2007-01-01
동작,살인,발생,3.0,2007-01-01
동작,살인,검거,4.0,2007-01-01
동작,강도,발생,23.0,2007-01-01
동작,강도,검거,18.0,2007-01-01
동작,강간,발생,142.0,2007-01-01
동작,강간,검거,78.0,2007-01-01
동작,절도,발생,928.0,2007-01-01
동작,절도,검거,553.0,2007-01-01
동작,폭력,발생,2107.0,2007-01-01
동작,폭력,검거,2033.0,2007-01-01
광진,살인,발생,8.0,2007-01-01
광진,살인,검거,8.0,2007-01-01
광진,강도,발생,53.0,2007-01-01
광진,강도,검거,45.0,2007-01-01
광진,강간,발생,156.0,2007-01-01
광진,강간,검거,134.0,2007-01-01
광진,절도,발생,1862.0,2007-01-01
광진,절도,검거,918.0,2007-01-01
광진,폭력,발생,2661.0,2007-01-01
광진,폭력,검거,2435.0,2007-01-01
서부,살인,발생,5.0,2007-01-01
서부,살인,검거,6.0,2007-01-01
서부,강도,발생,17.0,2007-01-01
서부,강도,검거,9.0,2007-01-01
서부,강간,발생,45.0,2007-01-01
서부,강간,검거,43.0,2007-01-01
서부,절도,발생,503.0,2007-01-01
서부,절도,검거,325.0,2007-01-01
서부,폭력,발생,1179.0,2007-01-01
서부,폭력,검거,1143.0,2007-01-01
강북,살인,발생,12.0,2007-01-01
강북,살인,검거,12.0,2007-01-01
강북,강도,발생,46.0,2007-01-01
강북,강도,검거,51.0,2007-01-01
강북,강간,발생,130.0,2007-01-01
강북,강간,검거,104.0,2007-01-01
강북,절도,발생,740.0,2007-01-01
강북,절도,검거,578.0,2007-01-01
강북,폭력,발생,2373.0,2007-01-01
강북,폭력,검거,2360.0,2007-01-01
금천,살인,발생,6.0,2007-01-01
금천,살인,검거,6.0,2007-01-01
금천,강도,발생,31.0,2007-01-01
금천,강도,검거,23.0,2007-01-01
금천,강간,발생,84.0,2007-01-01
금천,강간,검거,72.0,2007-01-01
금천,절도,발생,978.0,2007-01-01
금천,절도,검거,636.0,2007-01-01
금천,폭력,발생,2400.0,2007-01-01
금천,폭력,검거,2230.0,2007-01-01
중랑,살인,발생,13.0,2007-01-01
중랑,살인,검거,14.0,2007-01-01
중랑,강도,발생,40.0,2007-01-01
중랑,강도,검거,43.0,2007-01-01
중랑,강간,발생,82.0,2007-01-01
중랑,강간,검거,89.0,2007-01-01
중랑,절도,발생,965.0,2007-01-01
중랑,절도,검거,854.0,2007-01-01
중랑,폭력,발생,3282.0,2007-01-01
중랑,폭력,검거,3257.0,2007-01-01
강남,살인,발생,8.0,2007-01-01
강남,살인,검거,4.0,2007-01-01
강남,강도,발생,66.0,2007-01-01
강남,강도,검거,45.0,2007-01-01
강남,강간,발생,160.0,2007-01-01
강남,강간,검거,131.0,2007-01-01
강남,절도,발생,865.0,2007-01-01
강남,절도,검거,579.0,2007-01-01
강남,폭력,발생,3117.0,2007-01-01
강남,폭력,검거,2975.0,2007-01-01
관악,살인,발생,13.0,2007-01-01
관악,살인,검거,10.0,2007-01-01
관악,강도,발생,87.0,2007-01-01
관악,강도,검거,73.0,2007-01-01
관악,강간,발생,236.0,2007-01-01
관악,강간,검거,136.0,2007-01-01
관악,절도,발생,1774.0,2007-01-01
관악,절도,검거,766.0,2007-01-01
관악,폭력,발생,3693.0,2007-01-01
관악,폭력,검거,3407.0,2007-01-01
강서,살인,발생,4.0,2007-01-01
강서,살인,검거,3.0,2007-01-01
강서,강도,발생,53.0,2007-01-01
강서,강도,검거,64.0,2007-01-01
강서,강간,발생,131.0,2007-01-01
강서,강간,검거,124.0,2007-01-01
강서,절도,발생,1358.0,2007-01-01
강서,절도,검거,751.0,2007-01-01
강서,폭력,발생,3274.0,2007-01-01
강서,폭력,검거,3058.0,2007-01-01
강동,살인,발생,7.0,2007-01-01
강동,살인,검거,9.0,2007-01-01
강동,강도,발생,35.0,2007-01-01
강동,강도,검거,40.0,2007-01-01
강동,강간,발생,102.0,2007-01-01
강동,강간,검거,96.0,2007-01-01
강동,절도,발생,814.0,2007-01-01
강동,절도,검거,931.0,2007-01-01
강동,폭력,발생,2791.0,2007-01-01
강동,폭력,검거,2789.0,2007-01-01
종암,살인,발생,8.0,2007-01-01
종암,살인,검거,9.0,2007-01-01
종암,강도,발생,17.0,2007-01-01
종암,강도,검거,14.0,2007-01-01
종암,강간,발생,48.0,2007-01-01
종암,강간,검거,52.0,2007-01-01
종암,절도,발생,477.0,2007-01-01
종암,절도,검거,396.0,2007-01-01
종암,폭력,발생,1179.0,2007-01-01
종암,폭력,검거,1158.0,2007-01-01
구로,살인,발생,19.0,2007-01-01
구로,살인,검거,19.0,2007-01-01
구로,강도,발생,52.0,2007-01-01
구로,강도,검거,52.0,2007-01-01
구로,강간,발생,188.0,2007-01-01
구로,강간,검거,102.0,2007-01-01
구로,절도,발생,1220.0,2007-01-01
구로,절도,검거,691.0,2007-01-01
구로,폭력,발생,3364.0,2007-01-01
구로,폭력,검거,3326.0,2007-01-01
서초,살인,발생,4.0,2007-01-01
서초,살인,검거,3.0,2007-01-01
서초,강도,발생,50.0,2007-01-01
서초,강도,검거,43.0,2007-01-01
서초,강간,발생,158.0,2007-01-01
서초,강간,검거,104.0,2007-01-01
서초,절도,발생,964.0,2007-01-01
서초,절도,검거,659.0,2007-01-01
서초,폭력,발생,2223.0,2007-01-01
서초,폭력,검거,2012.0,2007-01-01
양천,살인,발생,8.0,2007-01-01
양천,살인,검거,8.0,2007-01-01
양천,강도,발생,25.0,2007-01-01
양천,강도,검거,19.0,2007-01-01
양천,강간,발생,98.0,2007-01-01
양천,강간,검거,97.0,2007-01-01
양천,절도,발생,1001.0,2007-01-01
양천,절도,검거,751.0,2007-01-01
양천,폭력,발생,2413.0,2007-01-01
양천,폭력,검거,2235.0,2007-01-01
송파,살인,발생,8.0,2007-01-01
송파,살인,검거,9.0,2007-01-01
송파,강도,발생,65.0,2007-01-01
송파,강도,검거,52.0,2007-01-01
송파,강간,발생,152.0,2007-01-01
송파,강간,검거,129.0,2007-01-01
송파,절도,발생,1845.0,2007-01-01
송파,절도,검거,974.0,2007-01-01
송파,폭력,발생,3893.0,2007-01-01
