구분,죄종,발생검거,건수,date
중부,살인,발생,1,2000-01-01
중부,살인,검거,1,2000-01-01
중부,강도,발생,17,2000-01-01
중부,강도,검거,15,2000-01-01
중부,강간,발생,14,2000-01-01
중부,강간,검거,14,2000-01-01
중부,절도,발생,601,2000-01-01
중부,절도,검거,569,2000-01-01
중부,폭력,발생,1783,2000-01-01
중부,폭력,검거,1762,2000-01-01
종로,살인,발생,4,2000-01-01
종로,살인,검거,4,2000-01-01
종로,강도,발생,24,2000-01-01
종로,강도,검거,36,2000-01-01
종로,강간,발생,18,2000-01-01
종로,강간,검거,18,2000-01-01
종로,절도,발생,644,2000-01-01
종로,절도,검거,385,2000-01-01
종로,폭력,발생,1886,2000-01-01
종로,폭력,검거,1830,2000-01-01
남대문,살인,발생,3,2000-01-01
남대문,살인,검거,3,2000-01-01
남대문,강도,발생,13,2000-01-01
남대문,강도,검거,7,2000-01-01
남대문,강간,발생,26,2000-01-01
남대문,강간,검거,23,2000-01-01
남대문,절도,발생,451,2000-01-01
남대문,절도,검거,273,2000-01-01
남대문,폭력,발생,1139,2000-01-01
남대문,폭력,검거,1132,2000-01-01
서대문,살인,발생,3,2000-01-01
서대문,살인,검거,2,2000-01-01
서대문,강도,발생,33,2000-01-01
서대문,강도,검거,28,2000-01-01
서대문,강간,발생,54,2000-01-01
서대문,강간,검거,44,2000-01-01
서대문,절도,발생,747,2000-01-01
서대문,절도,검거,312,2000-01-01
서대문,폭력,발생,2391,2000-01-01
서대문,폭력,검거,2300,2000-01-01
혜화,살인,발생,3,2000-01-01
혜화,살인,검거,3,2000-01-01
혜화,강도,발생,30,2000-01-01
혜화,강도,검거,24,2000-01-01
혜화,강간,발생,40,2000-01-01
혜화,강간,검거,41,2000-01-01
혜화,절도,발생,1239,2000-01-01
혜화,절도,검거,429,2000-01-01
혜화,폭력,발생,2631,2000-01-01
혜화,폭력,검거,2444,2000-01-01
용산,살인,발생,5,2000-01-01
용산,살인,검거,4,2000-01-01
용산,강도,발생,52,2000-01-01
용산,강도,검거,36,2000-01-01
용산,강간,발생,41,2000-01-01
용산,강간,검거,39,2000-01-01
용산,절도,발생,1090,2000-01-01
용산,절도,검거,388,2000-01-01
용산,폭력,발생,2667,2000-01-01
용산,폭력,검거,2462,2000-01-01
성북,살인,발생,3,2000-01-01
성북,살인,검거,3,2000-01-01
성북,강도,발생,27,2000-01-01
성북,강도,검거,24,2000-01-01
성북,강간,발생,38,2000-01-01
성북,강간,검거,32,2000-01-01
성북,절도,발생,629,2000-01-01
