구분,죄종,발생검거,건수,date
중부,살인,발생,2.0,2015-01-01
중부,살인,검거,2.0,2015-01-01
중부,강도,발생,3.0,2015-01-01
중부,강도,검거,2.0,2015-01-01
중부,강간,발생,105.0,2015-01-01
중부,강간,검거,65.0,2015-01-01
중부,절도,발생,1395.0,2015-01-01
중부,절도,검거,477.0,2015-01-01
중부,폭력,발생,1355.0,2015-01-01
중부,폭력,검거,1170.0,2015-01-01
종로,살인,발생,3.0,2015-01-01
종로,살인,검거,3.0,2015-01-01
종로,강도,발생,6.0,2015-01-01
종로,강도,검거,5.0,2015-01-01
종로,강간,발생,115.0,2015-01-01
종로,강간,검거,98.0,2015-01-01
종로,절도,발생,1070.0,2015-01-01
종로,절도,검거,413.0,2015-01-01
종로,폭력,발생,1278.0,2015-01-01
종로,폭력,검거,1070.0,2015-01-01
남대문,살인,발생,1.0,2015-01-01
남대문,살인,검거,0.0,2015-01-01
남대문,강도,발생,6.0,2015-01-01
남대문,강도,검거,4.0,2015-01-01
남대문,강간,발생,65.0,2015-01-01
남대문,강간,검거,46.0,2015-01-01
남대문,절도,발생,1153.0,2015-01-01
남대문,절도,검거,382.0,2015-01-01
남대문,폭력,발생,869.0,2015-01-01
남대문,폭력,검거,794.0,2015-01-01
서대문,살인,발생,2.0,2015-01-01
서대문,살인,검거,2.0,2015-01-01
서대문,강도,발생,5.0,2015-01-01
서대문,강도,검거,4.0,2015-01-01
서대문,강간,발생,154.0,2015-01-01
서대문,강간,검거,124.0,2015-01-01
서대문,절도,발생,1812.0,2015-01-01
서대문,절도,검거,738.0,2015-01-01
서대문,폭력,발생,2056.0,2015-01-01
서대문,폭력,검거,1711.0,2015-01-01
혜화,살인,발생,3.0,2015-01-01
혜화,살인,검거,2.0,2015-01-01
혜화,강도,발생,5.0,2015-01-01
혜화,강도,검거,4.0,2015-01-01
혜화,강간,발생,96.0,2015-01-01
혜화,강간,검거,63.0,2015-01-01
혜화,절도,발생,1114.0,2015-01-01
혜화,절도,검거,424.0,2015-01-01
혜화,폭력,발생,1015.0,2015-01-01
혜화,폭력,검거,861.0,2015-01-01
용산,살인,발생,5.0,2015-01-01
용산,살인,검거,5.0,2015-01-01
용산,강도,발생,14.0,2015-01-01
용산,강도,검거,14.0,2015-01-01
용산,강간,발생,194.0,2015-01-01
용산,강간,검거,173.0,2015-01-01
용산,절도,발생,1557.0,2015-01-01
용산,절도,검거,587.0,2015-01-01
용산,폭력,발생,2050.0,2015-01-01
용산,폭력,검거,1704.0,2015-01-01
성북,살인,발생,2.0,2015-01-01
성북,살인,검거,2.0,2015-01-01
성북,강도,발생,2.0,2015-01-01
성북,강도,검거,1.0,2015-01-01
