구분,죄종,발생검거,건수,date
중부,살인,발생,2.0,2004-01-01
중부,살인,검거,2.0,2004-01-01
중부,강도,발생,13.0,2004-01-01
중부,강도,검거,17.0,2004-01-01
중부,강간,발생,128.0,2004-01-01
중부,강간,검거,34.0,2004-01-01
중부,절도,발생,871.0,2004-01-01
중부,절도,검거,461.0,2004-01-01
중부,폭력,발생,1383.0,2004-01-01
중부,폭력,검거,1257.0,2004-01-01
종로,살인,발생,1.0,2004-01-01
종로,살인,검거,0.0,2004-01-01
종로,강도,발생,20.0,2004-01-01
종로,강도,검거,21.0,2004-01-01
종로,강간,발생,55.0,2004-01-01
종로,강간,검거,42.0,2004-01-01
종로,절도,발생,581.0,2004-01-01
종로,절도,검거,700.0,2004-01-01
종로,폭력,발생,1311.0,2004-01-01
종로,폭력,검거,1232.0,2004-01-01
남대문,살인,발생,1.0,2004-01-01
남대문,살인,검거,2.0,2004-01-01
남대문,강도,발생,18.0,2004-01-01
남대문,강도,검거,18.0,2004-01-01
남대문,강간,발생,40.0,2004-01-01
남대문,강간,검거,42.0,2004-01-01
남대문,절도,발생,637.0,2004-01-01
남대문,절도,검거,361.0,2004-01-01
남대문,폭력,발생,980.0,2004-01-01
남대문,폭력,검거,973.0,2004-01-01
서대문,살인,발생,5.0,2004-01-01
서대문,살인,검거,4.0,2004-01-01
서대문,강도,발생,52.0,2004-01-01
서대문,강도,검거,36.0,2004-01-01
서대문,강간,발생,85.0,2004-01-01
서대문,강간,검거,74.0,2004-01-01
서대문,절도,발생,1225.0,2004-01-01
서대문,절도,검거,577.0,2004-01-01
서대문,폭력,발생,1899.0,2004-01-01
서대문,폭력,검거,1761.0,2004-01-01
혜화,살인,발생,7.0,2004-01-01
혜화,살인,검거,6.0,2004-01-01
혜화,강도,발생,22.0,2004-01-01
혜화,강도,검거,16.0,2004-01-01
혜화,강간,발생,91.0,2004-01-01
혜화,강간,검거,53.0,2004-01-01
혜화,절도,발생,583.0,2004-01-01
혜화,절도,검거,705.0,2004-01-01
혜화,폭력,발생,1942.0,2004-01-01
혜화,폭력,검거,1868.0,2004-01-01
용산,살인,발생,8.0,2004-01-01
용산,살인,검거,8.0,2004-01-01
용산,강도,발생,49.0,2004-01-01
용산,강도,검거,35.0,2004-01-01
용산,강간,발생,73.0,2004-01-01
용산,강간,검거,69.0,2004-01-01
용산,절도,발생,997.0,2004-01-01
용산,절도,검거,593.0,2004-01-01
용산,폭력,발생,1942.0,2004-01-01
용산,폭력,검거,1813.0,2004-01-01
성북,살인,발생,6.0,2004-01-01
성북,살인,검거,5.0,2004-01-01
성북,강도,발생,39.0,2004-01-01
성북,강도,검거,23.0,2004-01-01
성북,강간,발생,67.0,2004-01-01
