구분,죄종,발생검거,건수,date
중부,살인,발생,0,2003-01-01
중부,살인,검거,0,2003-01-01
중부,강도,발생,46,2003-01-01
중부,강도,검거,50,2003-01-01
중부,강간,발생,70,2003-01-01
중부,강간,검거,20,2003-01-01
중부,절도,발생,1077,2003-01-01
중부,절도,검거,645,2003-01-01
중부,폭력,발생,1296,2003-01-01
중부,폭력,검거,1177,2003-01-01
종로,살인,발생,3,2003-01-01
종로,살인,검거,3,2003-01-01
종로,강도,발생,33,2003-01-01
종로,강도,검거,32,2003-01-01
종로,강간,발생,36,2003-01-01
종로,강간,검거,34,2003-01-01
종로,절도,발생,754,2003-01-01
종로,절도,검거,590,2003-01-01
종로,폭력,발생,1402,2003-01-01
종로,폭력,검거,1256,2003-01-01
남대문,살인,발생,2,2003-01-01
남대문,살인,검거,2,2003-01-01
남대문,강도,발생,37,2003-01-01
남대문,강도,검거,36,2003-01-01
남대문,강간,발생,26,2003-01-01
남대문,강간,검거,19,2003-01-01
남대문,절도,발생,1057,2003-01-01
남대문,절도,검거,862,2003-01-01
남대문,폭력,발생,1185,2003-01-01
남대문,폭력,검거,1110,2003-01-01
서대문,살인,발생,3,2003-01-01
서대문,살인,검거,2,2003-01-01
서대문,강도,발생,156,2003-01-01
서대문,강도,검거,147,2003-01-01
서대문,강간,발생,46,2003-01-01
서대문,강간,검거,43,2003-01-01
서대문,절도,발생,1812,2003-01-01
서대문,절도,검거,1357,2003-01-01
서대문,폭력,발생,1765,2003-01-01
서대문,폭력,검거,1611,2003-01-01
혜화,살인,발생,5,2003-01-01
혜화,살인,검거,6,2003-01-01
혜화,강도,발생,45,2003-01-01
혜화,강도,검거,41,2003-01-01
혜화,강간,발생,94,2003-01-01
혜화,강간,검거,38,2003-01-01
혜화,절도,발생,1435,2003-01-01
혜화,절도,검거,1059,2003-01-01
혜화,폭력,발생,1890,2003-01-01
혜화,폭력,검거,1753,2003-01-01
용산,살인,발생,14,2003-01-01
용산,살인,검거,12,2003-01-01
용산,강도,발생,105,2003-01-01
용산,강도,검거,127,2003-01-01
용산,강간,발생,55,2003-01-01
용산,강간,검거,46,2003-01-01
용산,절도,발생,1696,2003-01-01
용산,절도,검거,1400,2003-01-01
용산,폭력,발생,2092,2003-01-01
용산,폭력,검거,1788,2003-01-01
성북,살인,발생,4,2003-01-01
성북,살인,검거,5,2003-01-01
성북,강도,발생,36,2003-01-01
성북,강도,검거,33,2003-01-01
성북,강간,발생,38,2003-01-01
성북,강간,검거,27,2003-01-01
성북,절도,발생,707,2003-01-01
성북,절도,검거,912,2003-01-01
성북,폭력,발생,1549,2003-01-01
성북,폭력,검거,1409,2003-01-01
동대문,살인,발생,8,2003-01-01
동대문,살인,검거,10,2003-01-01
동대문,강도,발생,120,2003-01-01
동대문,강도,검거,143,2003-01-01
동대문,강간,발생,90,2003-01-01
동대문,강간,검거,78,2003-01-01
동대문,절도,발생,2074,2003-01-01
동대문,절도,검거,2076,2003-01-01
동대문,폭력,발생,3448,2003-01-01
동대문,폭력,검거,3453,2003-01-01
마포,살인,발생,7,2003-01-01
마포,살인,검거,6,2003-01-01
마포,강도,발생,104,2003-01-01
마포,강도,검거,86,2003-01-01
마포,강간,발생,54,2003-01-01
마포,강간,검거,46,2003-01-01
마포,절도,발생,2873,2003-01-01
마포,절도,검거,1777,2003-01-01
마포,폭력,발생,3374,2003-01-01
마포,폭력,검거,3032,2003-01-01
영등포,살인,발생,8,2003-01-01
영등포,살인,검거,9,2003-01-01
영등포,강도,발생,76,2003-01-01
영등포,강도,검거,63,2003-01-01
영등포,강간,발생,54,2003-01-01
영등포,강간,검거,49,2003-01-01
영등포,절도,발생,2415,2003-01-01
영등포,절도,검거,2226,2003-01-01
영등포,폭력,발생,2493,2003-01-01
영등포,폭력,검거,2261,2003-01-01
성동,살인,발생,2,2003-01-01
성동,살인,검거,2,2003-01-01
성동,강도,발생,67,2003-01-01
성동,강도,검거,70,2003-01-01
성동,강간,발생,45,2003-01-01
성동,강간,검거,28,2003-01-01
성동,절도,발생,2087,2003-01-01
성동,절도,검거,2507,2003-01-01
성동,폭력,발생,2462,2003-01-01
성동,폭력,검거,2257,2003-01-01
동작,살인,발생,9,2003-01-01
동작,살인,검거,10,2003-01-01
동작,강도,발생,83,2003-01-01
동작,강도,검거,45,2003-01-01
동작,강간,발생,64,2003-01-01
동작,강간,검거,64,2003-01-01
동작,절도,발생,2348,2003-01-01
동작,절도,검거,2074,2003-01-01
동작,폭력,발생,2384,2003-01-01
동작,폭력,검거,2138,2003-01-01
광진,살인,발생,6,2003-01-01
광진,살인,검거,8,2003-01-01
광진,강도,발생,168,2003-01-01
광진,강도,검거,155,2003-01-01
광진,강간,발생,113,2003-01-01
광진,강간,검거,74,2003-01-01
광진,절도,발생,3112,2003-01-01
광진,절도,검거,2026,2003-01-01
광진,폭력,발생,4046,2003-01-01
광진,폭력,검거,3578,2003-01-01
서부,살인,발생,3,2003-01-01
서부,살인,검거,4,2003-01-01
서부,강도,발생,64,2003-01-01
서부,강도,검거,97,2003-01-01
서부,강간,발생,47,2003-01-01
서부,강간,검거,45,2003-01-01
서부,절도,발생,2045,2003-01-01
서부,절도,검거,1529,2003-01-01
서부,폭력,발생,2330,2003-01-01
서부,폭력,검거,2180,2003-01-01
강북,살인,발생,9,2003-01-01
강북,살인,검거,8,2003-01-01
강북,강도,발생,121,2003-01-01
강북,강도,검거,151,2003-01-01
강북,강간,발생,66,2003-01-01
강북,강간,검거,59,2003-01-01
강북,절도,발생,2148,2003-01-01
강북,절도,검거,2104,2003-01-01
강북,폭력,발생,2988,2003-01-01
강북,폭력,검거,2714,2003-01-01
금천,살인,발생,15,2003-01-01
금천,살인,검거,14,2003-01-01
금천,강도,발생,112,2003-01-01
금천,강도,검거,96,2003-01-01
금천,강간,발생,68,2003-01-01
금천,강간,검거,54,2003-01-01
금천,절도,발생,2321,2003-01-01
금천,절도,검거,1465,2003-01-01
금천,폭력,발생,3887,2003-01-01
금천,폭력,검거,3456,2003-01-01
중랑,살인,발생,11,2003-01-01
중랑,살인,검거,13,2003-01-01
중랑,강도,발생,96,2003-01-01
중랑,강도,검거,110,2003-01-01
중랑,강간,발생,72,2003-01-01
중랑,강간,검거,58,2003-01-01
중랑,절도,발생,2735,2003-01-01
중랑,절도,검거,1671,2003-01-01
중랑,폭력,발생,4319,2003-01-01
중랑,폭력,검거,3814,2003-01-01
강남,살인,발생,7,2003-01-01
강남,살인,검거,10,2003-01-01
강남,강도,발생,139,2003-01-01
강남,강도,검거,146,2003-01-01
강남,강간,발생,117,2003-01-01
강남,강간,검거,90,2003-01-01
강남,절도,발생,2549,2003-01-01
강남,절도,검거,2074,2003-01-01
강남,폭력,발생,3556,2003-01-01
강남,폭력,검거,3455,2003-01-01
관악,살인,발생,4,2003-01-01
관악,살인,검거,3,2003-01-01
관악,강도,발생,82,2003-01-01
관악,강도,검거,105,2003-01-01
관악,강간,발생,126,2003-01-01
관악,강간,검거,67,2003-01-01
관악,절도,발생,2632,2003-01-01
관악,절도,검거,1058,2003-01-01
관악,폭력,발생,3005,2003-01-01
관악,폭력,검거,2704,2003-01-01
강서,살인,발생,5,2003-01-01
강서,살인,검거,5,2003-01-01
강서,강도,발생,206,2003-01-01
강서,강도,검거,203,2003-01-01
강서,강간,발생,64,2003-01-01
강서,강간,검거,56,2003-01-01
강서,절도,발생,2088,2003-01-01
강서,절도,검거,1218,2003-01-01
강서,폭력,발생,3719,2003-01-01
강서,폭력,검거,3493,2003-01-01
강동,살인,발생,6,2003-01-01
강동,살인,검거,6,2003-01-01
강동,강도,발생,234,2003-01-01
강동,강도,검거,237,2003-01-01
강동,강간,발생,64,2003-01-01
강동,강간,검거,60,2003-01-01
강동,절도,발생,1775,2003-01-01
강동,절도,검거,1088,2003-01-01
강동,폭력,발생,3377,2003-01-01
강동,폭력,검거,3145,2003-01-01
종암,살인,발생,2,2003-01-01
종암,살인,검거,4,2003-01-01
종암,강도,발생,99,2003-01-01
종암,강도,검거,102,2003-01-01
종암,강간,발생,53,2003-01-01
종암,강간,검거,53,2003-01-01
종암,절도,발생,1298,2003-01-01
종암,절도,검거,900,2003-01-01
종암,폭력,발생,2408,2003-01-01
종암,폭력,검거,2236,2003-01-01
구로,살인,발생,6,2003-01-01
구로,살인,검거,6,2003-01-01
구로,강도,발생,68,2003-01-01
