구분,죄종,발생검거,건수,date
중부,살인,발생,5.0,2010-01-01
중부,살인,검거,5.0,2010-01-01
중부,강도,발생,16.0,2010-01-01
중부,강도,검거,11.0,2010-01-01
중부,강간,발생,117.0,2010-01-01
중부,강간,검거,70.0,2010-01-01
중부,절도,발생,1108.0,2010-01-01
중부,절도,검거,805.0,2010-01-01
중부,폭력,발생,1743.0,2010-01-01
중부,폭력,검거,1566.0,2010-01-01
종로,살인,발생,5.0,2010-01-01
종로,살인,검거,3.0,2010-01-01
종로,강도,발생,15.0,2010-01-01
종로,강도,검거,13.0,2010-01-01
종로,강간,발생,98.0,2010-01-01
종로,강간,검거,79.0,2010-01-01
종로,절도,발생,911.0,2010-01-01
종로,절도,검거,516.0,2010-01-01
종로,폭력,발생,1289.0,2010-01-01
종로,폭력,검거,1120.0,2010-01-01
남대문,살인,발생,3.0,2010-01-01
남대문,살인,검거,3.0,2010-01-01
남대문,강도,발생,10.0,2010-01-01
남대문,강도,검거,8.0,2010-01-01
남대문,강간,발생,56.0,2010-01-01
남대문,강간,검거,42.0,2010-01-01
남대문,절도,발생,751.0,2010-01-01
남대문,절도,검거,407.0,2010-01-01
남대문,폭력,발생,982.0,2010-01-01
남대문,폭력,검거,907.0,2010-01-01
서대문,살인,발생,18.0,2010-01-01
서대문,살인,검거,20.0,2010-01-01
서대문,강도,발생,24.0,2010-01-01
서대문,강도,검거,27.0,2010-01-01
서대문,강간,발생,140.0,2010-01-01
서대문,강간,검거,122.0,2010-01-01
서대문,절도,발생,1739.0,2010-01-01
서대문,절도,검거,992.0,2010-01-01
서대문,폭력,발생,2030.0,2010-01-01
서대문,폭력,검거,1780.0,2010-01-01
혜화,살인,발생,2.0,2010-01-01
혜화,살인,검거,2.0,2010-01-01
혜화,강도,발생,18.0,2010-01-01
혜화,강도,검거,18.0,2010-01-01
혜화,강간,발생,103.0,2010-01-01
혜화,강간,검거,84.0,2010-01-01
혜화,절도,발생,804.0,2010-01-01
혜화,절도,검거,617.0,2010-01-01
혜화,폭력,발생,1488.0,2010-01-01
혜화,폭력,검거,1339.0,2010-01-01
용산,살인,발생,9.0,2010-01-01
용산,살인,검거,8.0,2010-01-01
용산,강도,발생,40.0,2010-01-01
용산,강도,검거,35.0,2010-01-01
용산,강간,발생,131.0,2010-01-01
용산,강간,검거,120.0,2010-01-01
용산,절도,발생,1207.0,2010-01-01
용산,절도,검거,726.0,2010-01-01
용산,폭력,발생,1936.0,2010-01-01
용산,폭력,검거,1685.0,2010-01-01
성북,살인,발생,9.0,2010-01-01
성북,살인,검거,9.0,2010-01-01
성북,강도,발생,18.0,2010-01-01
성북,강도,검거,17.0,2010-01-01
성북,강간,발생,89.0,2010-01-01
성북,강간,검거,57.0,2010-01-01
성북,절도,발생,1159.0,2010-01-01
성북,절도,검거,580.0,2010-01-01
성북,폭력,발생,1265.0,2010-01-01
성북,폭력,검거,1026.0,2010-01-01
동대문,살인,발생,13.0,2010-01-01
동대문,살인,검거,13.0,2010-01-01
동대문,강도,발생,57.0,2010-01-01
동대문,강도,검거,69.0,2010-01-01
동대문,강간,발생,157.0,2010-01-01
동대문,강간,검거,153.0,2010-01-01
동대문,절도,발생,1791.0,2010-01-01
동대문,절도,검거,1161.0,2010-01-01
동대문,폭력,발생,2738.0,2010-01-01
동대문,폭력,검거,2469.0,2010-01-01
마포,살인,발생,1.0,2010-01-01
마포,살인,검거,1.0,2010-01-01
마포,강도,발생,27.0,2010-01-01
마포,강도,검거,17.0,2010-01-01
마포,강간,발생,175.0,2010-01-01
마포,강간,검거,159.0,2010-01-01
마포,절도,발생,1685.0,2010-01-01
마포,절도,검거,824.0,2010-01-01
마포,폭력,발생,2661.0,2010-01-01
마포,폭력,검거,2418.0,2010-01-01
영등포,살인,발생,34.0,2010-01-01
영등포,살인,검거,32.0,2010-01-01
영등포,강도,발생,74.0,2010-01-01
영등포,강도,검거,57.0,2010-01-01
영등포,강간,발생,244.0,2010-01-01
영등포,강간,검거,197.0,2010-01-01
영등포,절도,발생,2648.0,2010-01-01
영등포,절도,검거,1246.0,2010-01-01
영등포,폭력,발생,3922.0,2010-01-01
영등포,폭력,검거,3416.0,2010-01-01
성동,살인,발생,11.0,2010-01-01
성동,살인,검거,10.0,2010-01-01
성동,강도,발생,29.0,2010-01-01
성동,강도,검거,29.0,2010-01-01
성동,강간,발생,99.0,2010-01-01
성동,강간,검거,76.0,2010-01-01
성동,절도,발생,1360.0,2010-01-01
성동,절도,검거,895.0,2010-01-01
성동,폭력,발생,1790.0,2010-01-01
성동,폭력,검거,1550.0,2010-01-01
동작,살인,발생,8.0,2010-01-01
동작,살인,검거,9.0,2010-01-01
동작,강도,발생,36.0,2010-01-01
동작,강도,검거,27.0,2010-01-01
동작,강간,발생,272.0,2010-01-01
동작,강간,검거,101.0,2010-01-01
동작,절도,발생,1680.0,2010-01-01
동작,절도,검거,693.0,2010-01-01
동작,폭력,발생,2073.0,2010-01-01
동작,폭력,검거,1807.0,2010-01-01
광진,살인,발생,11.0,2010-01-01
광진,살인,검거,10.0,2010-01-01
광진,강도,발생,52.0,2010-01-01
광진,강도,검거,44.0,2010-01-01
광진,강간,발생,230.0,2010-01-01
광진,강간,검거,198.0,2010-01-01
광진,절도,발생,2504.0,2010-01-01
광진,절도,검거,1836.0,2010-01-01
광진,폭력,발생,2735.0,2010-01-01
광진,폭력,검거,2382.0,2010-01-01
서부,살인,발생,7.0,2010-01-01
서부,살인,검거,8.0,2010-01-01
서부,강도,발생,12.0,2010-01-01
서부,강도,검거,8.0,2010-01-01
서부,강간,발생,83.0,2010-01-01
서부,강간,검거,79.0,2010-01-01
서부,절도,발생,775.0,2010-01-01
서부,절도,검거,534.0,2010-01-01
서부,폭력,발생,1194.0,2010-01-01
서부,폭력,검거,1065.0,2010-01-01
강북,살인,발생,7.0,2010-01-01
강북,살인,검거,6.0,2010-01-01
강북,강도,발생,37.0,2010-01-01
강북,강도,검거,30.0,2010-01-01
강북,강간,발생,156.0,2010-01-01
강북,강간,검거,144.0,2010-01-01
강북,절도,발생,1381.0,2010-01-01
강북,절도,검거,602.0,2010-01-01
강북,폭력,발생,2583.0,2010-01-01
강북,폭력,검거,2311.0,2010-01-01
금천,살인,발생,8.0,2010-01-01
금천,살인,검거,6.0,2010-01-01
금천,강도,발생,35.0,2010-01-01
금천,강도,검거,53.0,2010-01-01
금천,강간,발생,120.0,2010-01-01
금천,강간,검거,107.0,2010-01-01
금천,절도,발생,1522.0,2010-01-01
금천,절도,검거,925.0,2010-01-01
금천,폭력,발생,1976.0,2010-01-01
금천,폭력,검거,1727.0,2010-01-01
중랑,살인,발생,13.0,2010-01-01
중랑,살인,검거,14.0,2010-01-01
중랑,강도,발생,33.0,2010-01-01
중랑,강도,검거,25.0,2010-01-01
중랑,강간,발생,190.0,2010-01-01
중랑,강간,검거,164.0,2010-01-01
중랑,절도,발생,1745.0,2010-01-01
중랑,절도,검거,924.0,2010-01-01
중랑,폭력,발생,3607.0,2010-01-01
중랑,폭력,검거,3267.0,2010-01-01
강남,살인,발생,12.0,2010-01-01
강남,살인,검거,11.0,2010-01-01
강남,강도,발생,63.0,2010-01-01
강남,강도,검거,44.0,2010-01-01
강남,강간,발생,260.0,2010-01-01
강남,강간,검거,147.0,2010-01-01
강남,절도,발생,2419.0,2010-01-01
강남,절도,검거,770.0,2010-01-01
강남,폭력,발생,3073.0,2010-01-01
강남,폭력,검거,2677.0,2010-01-01
관악,살인,발생,13.0,2010-01-01
관악,살인,검거,13.0,2010-01-01
관악,강도,발생,57.0,2010-01-01
관악,강도,검거,53.0,2010-01-01
관악,강간,발생,403.0,2010-01-01
관악,강간,검거,234.0,2010-01-01
관악,절도,발생,2273.0,2010-01-01
관악,절도,검거,935.0,2010-01-01
관악,폭력,발생,3404.0,2010-01-01
관악,폭력,검거,2971.0,2010-01-01
강서,살인,발생,7.0,2010-01-01
강서,살인,검거,8.0,2010-01-01
강서,강도,발생,58.0,2010-01-01
강서,강도,검거,66.0,2010-01-01
강서,강간,발생,225.0,2010-01-01
강서,강간,검거,192.0,2010-01-01
강서,절도,발생,2710.0,2010-01-01
강서,절도,검거,1394.0,2010-01-01
강서,폭력,발생,3219.0,2010-01-01
강서,폭력,검거,2790.0,2010-01-01
강동,살인,발생,18.0,2010-01-01
강동,살인,검거,16.0,2010-01-01
강동,강도,발생,38.0,2010-01-01
강동,강도,검거,37.0,2010-01-01
강동,강간,발생,169.0,2010-01-01
강동,강간,검거,144.0,2010-01-01
강동,절도,발생,1970.0,2010-01-01
강동,절도,검거,1338.0,2010-01-01
강동,폭력,발생,2835.0,2010-01-01
강동,폭력,검거,2517.0,2010-01-01
종암,살인,발생,6.0,2010-01-01
종암,살인,검거,6.0,2010-01-01
종암,강도,발생,15.0,2010-01-01
종암,강도,검거,11.0,2010-01-01
종암,강간,발생,59.0,2010-01-01
