구분,죄종,발생검거,건수,date
중부,살인,발생,2.0,2005-01-01
중부,살인,검거,3.0,2005-01-01
중부,강도,발생,10.0,2005-01-01
중부,강도,검거,8.0,2005-01-01
중부,강간,발생,89.0,2005-01-01
중부,강간,검거,38.0,2005-01-01
중부,절도,발생,505.0,2005-01-01
중부,절도,검거,369.0,2005-01-01
중부,폭력,발생,1328.0,2005-01-01
중부,폭력,검거,1224.0,2005-01-01
종로,살인,발생,3.0,2005-01-01
종로,살인,검거,3.0,2005-01-01
종로,강도,발생,24.0,2005-01-01
종로,강도,검거,17.0,2005-01-01
종로,강간,발생,59.0,2005-01-01
종로,강간,검거,49.0,2005-01-01
종로,절도,발생,523.0,2005-01-01
종로,절도,검거,341.0,2005-01-01
종로,폭력,발생,1370.0,2005-01-01
종로,폭력,검거,1288.0,2005-01-01
남대문,살인,발생,1.0,2005-01-01
남대문,살인,검거,1.0,2005-01-01
남대문,강도,발생,10.0,2005-01-01
남대문,강도,검거,6.0,2005-01-01
남대문,강간,발생,29.0,2005-01-01
남대문,강간,검거,31.0,2005-01-01
남대문,절도,발생,357.0,2005-01-01
남대문,절도,검거,294.0,2005-01-01
남대문,폭력,발생,908.0,2005-01-01
남대문,폭력,검거,891.0,2005-01-01
서대문,살인,발생,5.0,2005-01-01
서대문,살인,검거,4.0,2005-01-01
서대문,강도,발생,43.0,2005-01-01
서대문,강도,검거,70.0,2005-01-01
서대문,강간,발생,97.0,2005-01-01
서대문,강간,검거,88.0,2005-01-01
서대문,절도,발생,1161.0,2005-01-01
서대문,절도,검거,632.0,2005-01-01
서대문,폭력,발생,1842.0,2005-01-01
서대문,폭력,검거,1701.0,2005-01-01
혜화,살인,발생,2.0,2005-01-01
혜화,살인,검거,2.0,2005-01-01
혜화,강도,발생,15.0,2005-01-01
혜화,강도,검거,14.0,2005-01-01
혜화,강간,발생,103.0,2005-01-01
혜화,강간,검거,69.0,2005-01-01
혜화,절도,발생,698.0,2005-01-01
혜화,절도,검거,744.0,2005-01-01
혜화,폭력,발생,2051.0,2005-01-01
