구분,죄종,발생검거,건수,date
중부,살인,발생,4.0,2006-01-01
중부,살인,검거,4.0,2006-01-01
중부,강도,발생,28.0,2006-01-01
중부,강도,검거,18.0,2006-01-01
중부,강간,발생,121.0,2006-01-01
중부,강간,검거,77.0,2006-01-01
중부,절도,발생,723.0,2006-01-01
중부,절도,검거,569.0,2006-01-01
중부,폭력,발생,1909.0,2006-01-01
중부,폭력,검거,1831.0,2006-01-01
종로,살인,발생,7.0,2006-01-01
종로,살인,검거,7.0,2006-01-01
종로,강도,발생,22.0,2006-01-01
종로,강도,검거,26.0,2006-01-01
종로,강간,발생,67.0,2006-01-01
종로,강간,검거,56.0,2006-01-01
종로,절도,발생,547.0,2006-01-01
종로,절도,검거,377.0,2006-01-01
종로,폭력,발생,1594.0,2006-01-01
종로,폭력,검거,1377.0,2006-01-01
남대문,살인,발생,2.0,2006-01-01
남대문,살인,검거,2.0,2006-01-01
남대문,강도,발생,10.0,2006-01-01
남대문,강도,검거,24.0,2006-01-01
남대문,강간,발생,50.0,2006-01-01
남대문,강간,검거,39.0,2006-01-01
남대문,절도,발생,559.0,2006-01-01
남대문,절도,검거,471.0,2006-01-01
남대문,폭력,발생,1042.0,2006-01-01
남대문,폭력,검거,1000.0,2006-01-01
서대문,살인,발생,7.0,2006-01-01
서대문,살인,검거,6.0,2006-01-01
서대문,강도,발생,30.0,2006-01-01
서대문,강도,검거,19.0,2006-01-01
서대문,강간,발생,147.0,2006-01-01
서대문,강간,검거,115.0,2006-01-01
서대문,절도,발생,1397.0,2006-01-01
서대문,절도,검거,663.0,2006-01-01
서대문,폭력,발생,2205.0,2006-01-01
서대문,폭력,검거,2085.0,2006-01-01
혜화,살인,발생,5.0,2006-01-01
혜화,살인,검거,6.0,2006-01-01
혜화,강도,발생,19.0,2006-01-01
혜화,강도,검거,9.0,2006-01-01
혜화,강간,발생,117.0,2006-01-01
혜화,강간,검거,75.0,2006-01-01
혜화,절도,발생,472.0,2006-01-01
혜화,절도,검거,584.0,2006-01-01
혜화,폭력,발생,1840.0,2006-01-01
혜화,폭력,검거,1848.0,2006-01-01
용산,살인,발생,9.0,2006-01-01
용산,살인,검거,8.0,2006-01-01
용산,강도,발생,40.0,2006-01-01
용산,강도,검거,20.0,2006-01-01
용산,강간,발생,81.0,2006-01-01
용산,강간,검거,77.0,2006-01-01
용산,절도,발생,626.0,2006-01-01
용산,절도,검거,542.0,2006-01-01
용산,폭력,발생,1628.0,2006-01-01
용산,폭력,검거,1586.0,2006-01-01
성북,살인,발생,5.0,2006-01-01
성북,살인,검거,4.0,2006-01-01
성북,강도,발생,29.0,2006-01-01
성북,강도,검거,19.0,2006-01-01
성북,강간,발생,88.0,2006-01-01
성북,강간,검거,57.0,2006-01-01
성북,절도,발생,692.0,2006-01-01
성북,절도,검거,358.0,2006-01-01
성북,폭력,발생,1343.0,2006-01-01
성북,폭력,검거,1287.0,2006-01-01
동대문,살인,발생,10.0,2006-01-01
동대문,살인,검거,9.0,2006-01-01
동대문,강도,발생,41.0,2006-01-01
동대문,강도,검거,37.0,2006-01-01
동대문,강간,발생,119.0,2006-01-01
동대문,강간,검거,116.0,2006-01-01
동대문,절도,발생,734.0,2006-01-01
동대문,절도,검거,624.0,2006-01-01
동대문,폭력,발생,2985.0,2006-01-01
동대문,폭력,검거,2966.0,2006-01-01
마포,살인,발생,4.0,2006-01-01
마포,살인,검거,4.0,2006-01-01
마포,강도,발생,45.0,2006-01-01
마포,강도,검거,39.0,2006-01-01
마포,강간,발생,128.0,2006-01-01
마포,강간,검거,130.0,2006-01-01
마포,절도,발생,1264.0,2006-01-01
마포,절도,검거,560.0,2006-01-01
마포,폭력,발생,2666.0,2006-01-01
마포,폭력,검거,2378.0,2006-01-01
영등포,살인,발생,12.0,2006-01-01
영등포,살인,검거,10.0,2006-01-01
영등포,강도,발생,52.0,2006-01-01
영등포,강도,검거,54.0,2006-01-01
영등포,강간,발생,159.0,2006-01-01
영등포,강간,검거,136.0,2006-01-01
영등포,절도,발생,1336.0,2006-01-01
영등포,절도,검거,828.0,2006-01-01
영등포,폭력,발생,3252.0,2006-01-01
영등포,폭력,검거,3119.0,2006-01-01
성동,살인,발생,5.0,2006-01-01
성동,살인,검거,5.0,2006-01-01
성동,강도,발생,33.0,2006-01-01
성동,강도,검거,54.0,2006-01-01
성동,강간,발생,88.0,2006-01-01
성동,강간,검거,87.0,2006-01-01
성동,절도,발생,973.0,2006-01-01
성동,절도,검거,809.0,2006-01-01
성동,폭력,발생,2026.0,2006-01-01
성동,폭력,검거,1949.0,2006-01-01
동작,살인,발생,7.0,2006-01-01
동작,살인,검거,9.0,2006-01-01
동작,강도,발생,41.0,2006-01-01
동작,강도,검거,35.0,2006-01-01
동작,강간,발생,144.0,2006-01-01
동작,강간,검거,91.0,2006-01-01
동작,절도,발생,818.0,2006-01-01
동작,절도,검거,538.0,2006-01-01
동작,폭력,발생,2162.0,2006-01-01
동작,폭력,검거,2058.0,2006-01-01
광진,살인,발생,7.0,2006-01-01
광진,살인,검거,7.0,2006-01-01
광진,강도,발생,77.0,2006-01-01
광진,강도,검거,49.0,2006-01-01
광진,강간,발생,149.0,2006-01-01
광진,강간,검거,130.0,2006-01-01
광진,절도,발생,1859.0,2006-01-01
광진,절도,검거,824.0,2006-01-01
광진,폭력,발생,2784.0,2006-01-01
광진,폭력,검거,2576.0,2006-01-01
서부,살인,발생,3.0,2006-01-01
서부,살인,검거,4.0,2006-01-01
서부,강도,발생,15.0,2006-01-01
서부,강도,검거,32.0,2006-01-01
서부,강간,발생,47.0,2006-01-01
서부,강간,검거,52.0,2006-01-01
서부,절도,발생,635.0,2006-01-01
서부,절도,검거,335.0,2006-01-01
서부,폭력,발생,1278.0,2006-01-01
서부,폭력,검거,1270.0,2006-01-01
강북,살인,발생,5.0,2006-01-01
강북,살인,검거,7.0,2006-01-01
강북,강도,발생,78.0,2006-01-01
강북,강도,검거,72.0,2006-01-01
강북,강간,발생,92.0,2006-01-01
강북,강간,검거,82.0,2006-01-01
강북,절도,발생,698.0,2006-01-01
강북,절도,검거,629.0,2006-01-01
강북,폭력,발생,2428.0,2006-01-01
강북,폭력,검거,2416.0,2006-01-01
금천,살인,발생,5.0,2006-01-01
금천,살인,검거,6.0,2006-01-01
금천,강도,발생,33.0,2006-01-01
금천,강도,검거,24.0,2006-01-01
금천,강간,발생,80.0,2006-01-01
금천,강간,검거,72.0,2006-01-01
금천,절도,발생,982.0,2006-01-01
금천,절도,검거,595.0,2006-01-01
금천,폭력,발생,2465.0,2006-01-01
금천,폭력,검거,2293.0,2006-01-01
중랑,살인,발생,11.0,2006-01-01
중랑,살인,검거,13.0,2006-01-01
중랑,강도,발생,53.0,2006-01-01
중랑,강도,검거,71.0,2006-01-01
중랑,강간,발생,119.0,2006-01-01
중랑,강간,검거,107.0,2006-01-01
중랑,절도,발생,1050.0,2006-01-01
중랑,절도,검거,1005.0,2006-01-01
중랑,폭력,발생,3160.0,2006-01-01
중랑,폭력,검거,3141.0,2006-01-01
강남,살인,발생,5.0,2006-01-01
강남,살인,검거,6.0,2006-01-01
강남,강도,발생,65.0,2006-01-01
강남,강도,검거,33.0,2006-01-01
강남,강간,발생,168.0,2006-01-01
강남,강간,검거,124.0,2006-01-01
강남,절도,발생,1014.0,2006-01-01
강남,절도,검거,461.0,2006-01-01
강남,폭력,발생,2853.0,2006-01-01
강남,폭력,검거,2666.0,2006-01-01
관악,살인,발생,5.0,2006-01-01
관악,살인,검거,4.0,2006-01-01
관악,강도,발생,63.0,2006-01-01
관악,강도,검거,44.0,2006-01-01
관악,강간,발생,236.0,2006-01-01
관악,강간,검거,129.0,2006-01-01
관악,절도,발생,1628.0,2006-01-01
관악,절도,검거,663.0,2006-01-01
관악,폭력,발생,3192.0,2006-01-01
관악,폭력,검거,2960.0,2006-01-01
강서,살인,발생,16.0,2006-01-01
강서,살인,검거,15.0,2006-01-01
강서,강도,발생,43.0,2006-01-01
강서,강도,검거,40.0,2006-01-01
강서,강간,발생,137.0,2006-01-01
강서,강간,검거,117.0,2006-01-01
강서,절도,발생,1267.0,2006-01-01
강서,절도,검거,710.0,2006-01-01
강서,폭력,발생,3186.0,2006-01-01
강서,폭력,검거,3053.0,2006-01-01
강동,살인,발생,4.0,2006-01-01
강동,살인,검거,3.0,2006-01-01
강동,강도,발생,35.0,2006-01-01
강동,강도,검거,42.0,2006-01-01
강동,강간,발생,117.0,2006-01-01
강동,강간,검거,117.0,2006-01-01
강동,절도,발생,672.0,2006-01-01
강동,절도,검거,604.0,2006-01-01
강동,폭력,발생,2619.0,2006-01-01
강동,폭력,검거,2574.0,2006-01-01
종암,살인,발생,6.0,2006-01-01
종암,살인,검거,4.0,2006-01-01
종암,강도,발생,23.0,2006-01-01
종암,강도,검거,30.0,2006-01-01
종암,강간,발생,44.0,2006-01-01
종암,강간,검거,52.0,2006-01-01
종암,절도,발생,469.0,2006-01-01
종암,절도,검거,371.0,2006-01-01
종암,폭력,발생,1294.0,2006-01-01
종암,폭력,검거,1250.0,2006-01-01
구로,살인,발생,16.0,2006-01-01
구로,살인,검거,13.0,2006-01-01
구로,강도,발생,39.0,2006-01-01
구로,강도,검거,33.0,2006-01-01
구로,강간,발생,200.0,2006-01-01
구로,강간,검거,130.0,2006-01-01
구로,절도,발생,1218.0,2006-01-01
구로,절도,검거,559.0,2006-01-01
구로,폭력,발생,3253.0,2006-01-01
구로,폭력,검거,3102.0,2006-01-01
서초,살인,발생,2.0,2006-01-01
서초,살인,검거,2.0,2006-01-01
서초,강도,발생,69.0,2006-01-01
서초,강도,검거,34.0,2006-01-01
서초,강간,발생,151.0,2006-01-01
서초,강간,검거,99.0,2006-01-01
서초,절도,발생,841.0,2006-01-01
서초,절도,검거,479.0,2006-01-01
서초,폭력,발생,2178.0,2006-01-01
서초,폭력,검거,2009.0,2006-01-01
양천,살인,발생,5.0,2006-01-01
양천,살인,검거,6.0,2006-01-01
양천,강도,발생,44.0,2006-01-01
양천,강도,검거,54.0,2006-01-01
양천,강간,발생,73.0,2006-01-01
양천,강간,검거,64.0,2006-01-01
양천,절도,발생,1055.0,2006-01-01
양천,절도,검거,622.0,2006-01-01
양천,폭력,발생,2454.0,2006-01-01
양천,폭력,검거,2274.0,2006-01-01
송파,살인,발생,8.0,2006-01-01
송파,살인,검거,6.0,2006-01-01
송파,강도,발생,47.0,2006-01-01
송파,강도,검거,46.0,2006-01-01
송파,강간,발생,160.0,2006-01-01
